chr	start	end	name	score	strand	gene	external_gene_name	annotation	finalized_annotation	grouped_annotation	annotation_count	TOTAL_TagCount	Nuc_F_M_BC	Nuc_F_S_BC	Cyto_F_M_BC	Cyto_F_S_BC	NLS_I_M_BC	NLS_I_S_BC	NES_I_M_BC	NES_I_S_BC	G3BP_I_M_BC	G3BP_I_S_BC	NLS_E_M_BC	NLS_E_S_BC	NES_E_M_BC	NES_E_S_BC	G3BP_E_M_BC	G3BP_E_S_BC	TOTAL_BC	NES_E_S_1	NES_E_S_2	NES_E_S_3	NES_E_S_4
chr13	112886549	112886569	chr13-1	  312.00	+	ENSG00000068650	ATP11A	3'UTR	3'UTR	3'UTR	1	0.0009649731	3	3	3	3	2	2	2	1	2	5	0	2	0	3	3	5	39	5.228075e-05	2.624224e-05	0	1.770604e-06
chr14	 16054608	 16054628	chr14-7219	    6.61	+				UnAn	UnAn	0	2.004215e-05	0	1	0	0	1	2	1	0	0	0	0	0	0	2	0	0	7	0	0	4.141644e-06	1.770604e-06
chr14	 16055218	 16055238	chr14-1319	   18.10	+				UnAn	UnAn	0	0.0002077538	2	1	0	0	2	1	1	0	1	1	3	1	3	3	2	0	21	0	1.312112e-05	1.86374e-05	5.311812e-06
chr14	 16055368	 16055388	chr14-361	   35.70	+				UnAn	UnAn	0	0.0001361904	2	3	2	2	1	2	1	1	0	0	2	2	2	2	2	0	24	0	0	4.141644e-06	7.082416e-06
chr14	 16055739	 16055759	chr14-26	  450.00	+				UnAn	UnAn	0	0.001848591	3	3	3	3	2	2	2	2	3	5	2	2	2	3	3	1	41	0	1.312112e-05	0.0001076828	4.42651e-05
chr14	 16055854	 16055874	chr14-2017	   12.80	+				UnAn	UnAn	0	2.963615e-05	0	3	0	0	2	2	1	1	0	1	0	1	0	2	0	0	13	0	0	2.070822e-06	1.770604e-06
chr14	 16056371	 16056391	chr14-1329	   14.50	+				UnAn	UnAn	0	0.0002837854	0	0	2	0	2	2	1	0	0	1	2	2	0	2	2	3	19	0	0	8.283288e-06	1.770604e-06
chr14	 16057543	 16057563	chr14-3260	    9.25	+	ENSG00000283274	5_8S_rRNA	rRNA	rRNA	ncRNA	1	2.541609e-05	1	0	1	0	2	2	0	0	1	1	1	1	0	2	0	0	12	0	0	2.070822e-06	5.311812e-06
chr14	 19000118	 19000138	chr14-165	  220.80	+	ENSG00000222036	POTEM	3'UTR	3'UTR	3'UTR	1	0.001289761	3	3	3	3	2	2	2	1	2	4	2	1	2	4	5	5	44	2.614037e-05	3.936336e-05	4.141644e-06	3.541208e-06
chr14	 19401638	 19401658	chr14-139	  221.70	-			downstream 10K	DS10K	DS10K	1	0.001050249	3	3	3	3	2	2	2	1	2	3	2	0	2	4	4	4	40	2.614037e-05	5.248448e-05	4.141644e-06	1.770604e-06
chr14	 20326470	 20326490	chr14-400	   37.50	-	ENSG00000100814	CCNB1IP1	intron|snoRNA	snoRNA	snoRNA	2	0.0001904308	3	3	1	0	2	2	2	1	3	2	2	2	1	3	1	0	28	0	1.312112e-05	2.070822e-06	3.541208e-06
chr14	 20485628	 20485648	chr14-2387	   11.90	+			downstream 10K	DS10K	DS10K	1	5.389962e-05	1	1	2	0	1	1	0	0	0	1	1	1	0	2	1	2	14	0	0	2.070822e-06	1.770604e-06
chr14	 20795146	 20795166	chr14-13884	    2.20	-			downstream 10K	DS10K	DS10K	1	7.709633e-06	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	4	0	0	2.070822e-06	1.770604e-06
chr14	 21210477	 21210497	chr14-221	   49.80	-	ENSG00000092199	HNRNPC	3'UTR	3'UTR	3'UTR	1	0.0002612089	3	3	3	3	2	2	1	1	1	3	1	1	1	2	1	4	32	2.614037e-05	1.312112e-05	0	0
chr14	 21210960	 21210980	chr14-96	   85.10	-	ENSG00000092199	HNRNPC	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	0.0003816664	2	3	3	3	1	2	1	1	1	3	0	1	1	2	2	4	30	2.614037e-05	2.624224e-05	0	0
chr14	 21263630	 21263650	chr14-30	  146.30	-	ENSG00000092199	HNRNPC	5'UTR|intron|CDS_Retained_intron	5'UTR	5'UTR	3	0.0003314038	3	3	3	3	2	2	1	2	0	3	1	2	0	2	0	4	31	0	1.312112e-05	0	1.770604e-06
chr14	 21397294	 21397314	chr14-3691	    6.61	-	ENSG00000100888	CHD8	downstream 10K|intron|snoRNA|CDS_Retained_intron	snoRNA	snoRNA	4	2.615459e-05	2	1	0	0	2	1	0	0	0	0	1	0	0	2	0	0	9	0	1.312112e-05	0	1.770604e-06
chr14	 23058597	 23058617	chr14-4	  372.00	-	ENSG00000100813	ACIN1	3'UTR	3'UTR	3'UTR	1	0.001182725	3	3	3	3	2	2	2	2	3	4	4	4	0	2	3	6	46	0	0	2.070822e-06	1.770604e-06
chr14	 23326116	 23326136	chr14-36	  192.20	+	ENSG00000100836	PABPN1	3'UTR	3'UTR	3'UTR	1	0.001280698	3	3	3	3	2	2	2	1	3	4	3	4	2	4	5	5	49	2.614037e-05	1.312112e-05	4.141644e-06	1.770604e-06
chr14	 23517824	 23517844	chr14-9739	    3.08	-			downstream 10K	DS10K	DS10K	1	1.757603e-05	0	0	0	0	1	0	1	1	0	2	1	0	0	2	0	0	8	0	0	2.070822e-06	1.770604e-06
chr14	 24710653	 24710673	chr14-4491	    5.73	+			Other|unannotated	Other	Other	2	1.373369e-05	1	1	0	0	1	1	0	0	0	1	0	0	0	2	0	2	9	0	0	2.070822e-06	1.770604e-06
chr14	 26751141	 26751161	chr14-7457	    3.97	+	ENSG00000257842	NOVA1-DT	intron|lncRNA	lncRNA	ncRNA	2	1.922002e-05	0	1	1	1	1	0	0	0	0	1	0	1	0	2	0	1	9	0	0	2.070822e-06	1.770604e-06
chr14	 27532928	 27532948	chr14-11653	    2.64	+			Other|unannotated	Other	Other	2	1.436088e-05	0	0	0	0	0	1	0	1	0	1	0	0	0	2	0	0	5	0	0	2.070822e-06	1.770604e-06
chr14	 28400645	 28400665	chr14-11941	    2.64	-			unannotated	UnAn	UnAn	1	8.344265e-06	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	2	6	0	0	2.070822e-06	1.770604e-06
chr14	 30563174	 30563194	chr14-29	  117.70	+	ENSG00000092140	G2E3	intron	intron	intron	1	0.000329082	3	3	3	3	2	2	1	1	2	4	1	2	1	2	2	2	34	2.614037e-05	0	0	1.770604e-06
chr14	 30563174	 30563194	chr14-29	  117.70	+	ENSG00000092140	G2E3	intron	intron	intron	1	0.000329082	3	3	3	3	2	2	1	1	2	4	1	2	1	2	2	2	34	2.614037e-05	0	0	1.770604e-06
chr14	 30594792	 30594812	chr14-181	   47.20	+	ENSG00000092140	G2E3	intron	intron	intron	1	0.000148587	3	3	3	3	2	1	1	1	1	3	3	0	0	2	1	0	27	2.614037e-05	1.312112e-05	0	0
chr14	 30594792	 30594812	chr14-181	   47.20	+	ENSG00000092140	G2E3	intron	intron	intron	1	0.000148587	3	3	3	3	2	1	1	1	1	3	3	0	0	2	1	0	27	2.614037e-05	1.312112e-05	0	0
chr14	 30618141	 30618161	chr14-218	   82.40	+	ENSG00000092140	G2E3	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	0.0003395015	3	3	3	3	2	1	1	1	1	3	2	2	0	2	0	4	31	2.614037e-05	0	2.070822e-06	0
chr14	 30618141	 30618161	chr14-218	   82.40	+	ENSG00000092140	G2E3	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	0.0003395015	3	3	3	3	2	1	1	1	1	3	2	2	0	2	0	4	31	2.614037e-05	0	2.070822e-06	0
chr14	 30638170	 30638190	chr14-122	   61.30	+	ENSG00000092108	SCFD1	5'UTR|3'UTR|CDS|intron|CDS_Retained_intron	3'UTR	3'UTR	5	0.0001805038	3	3	3	3	2	2	1	1	2	4	0	2	0	2	2	2	32	0	1.312112e-05	2.070822e-06	0
chr14	 30679697	 30679717	chr14-23	  163.50	+	ENSG00000092108	SCFD1	downstream 10K|intron|CDS_Retained_intron	CDS_RI	intron	3	0.0004188495	3	3	3	3	2	2	1	1	2	3	2	1	0	2	2	1	31	0	0	2.070822e-06	1.770604e-06
chr14	 30709062	 30709082	chr14-44	  105.80	+	ENSG00000092108	SCFD1	downstream 10K|intron|CDS_Retained_intron	CDS_RI	intron	3	0.0005910265	3	3	3	3	2	2	1	2	2	4	3	4	1	3	2	2	40	5.228075e-05	1.312112e-05	0	3.541208e-06
chr14	 30894109	 30894129	chr14-47	   92.10	-	ENSG00000196792	STRN3	3'UTR	3'UTR	3'UTR	1	0.0005738027	3	3	3	3	2	2	1	2	2	4	3	3	2	2	2	5	42	2.614037e-05	2.624224e-05	0	0
chr14	 30894395	 30894415	chr14-124	   69.60	-	ENSG00000196792	STRN3	3'UTR	3'UTR	3'UTR	1	0.0002325117	3	3	3	3	2	2	2	0	2	4	2	1	0	2	2	2	33	2.614037e-05	0	2.070822e-06	0
chr14	 30894896	 30894916	chr14-228	   39.20	-	ENSG00000196792	STRN3	3'UTR	3'UTR	3'UTR	1	0.0003411169	1	3	3	3	2	1	0	1	2	3	2	2	0	2	3	4	32	0	0	2.070822e-06	1.770604e-06
chr14	 30902185	 30902205	chr14-12428	    2.20	+			downstream 10K|TE	TE	TE	2	1.028547e-05	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	4	0	0	2.070822e-06	3.541208e-06
chr14	 30925807	 30925827	chr14-473	   26.40	-	ENSG00000196792	STRN3	intron	intron	intron	1	0.0001403085	3	2	3	3	2	2	1	1	1	4	1	1	0	2	1	3	30	2.614037e-05	0	0	1.770604e-06
chr14	 30929930	 30929950	chr14-25	  110.20	-	ENSG00000196792	STRN3	intron	intron	intron	1	0.000442428	3	3	3	3	2	2	1	1	2	4	3	3	1	2	2	1	36	0	2.624224e-05	2.070822e-06	0
chr14	 30975836	 30975856	chr14-8474	    3.53	+			TE|unannotated	TE	TE	2	1.358676e-05	0	0	0	0	1	0	0	0	0	0	2	1	0	2	0	0	6	0	0	2.070822e-06	1.770604e-06
chr14	 30994636	 30994656	chr14-822	   18.10	-	ENSG00000196792	STRN3	intron	intron	intron	1	6.23931e-05	3	2	1	3	2	1	1	0	1	3	1	0	0	2	2	1	23	0	1.312112e-05	0	1.770604e-06
chr14	 31360029	 31360049	chr14-217	   46.70	-	ENSG00000129493	HEATR5A	downstream 10K|intron|TE	TE	TE	3	0.0003567099	3	3	3	3	2	2	0	1	1	2	1	1	1	3	1	0	27	2.614037e-05	1.312112e-05	0	1.770604e-06
chr14	 31446487	 31446507	chr14-1407	   16.70	-	ENSG00000129480	DTD2	3'UTR|intron|Other	3'UTR	3'UTR	3	9.608388e-05	0	2	3	2	2	2	1	0	1	3	1	0	0	2	0	2	21	2.614037e-05	1.312112e-05	0	0
chr14	 32080084	 32080104	chr14-231	   47.20	+	ENSG00000100852	ARHGAP5	intron	intron	intron	1	0.0001542553	3	3	3	3	2	1	2	2	2	4	1	3	0	2	0	1	32	0	0	2.070822e-06	1.770604e-06
chr14	 32092471	 32092491	chr14-10	  479.90	+	ENSG00000100852	ARHGAP5	CDS|intron	CDS	CDS	2	0.002346939	3	3	3	3	2	2	2	2	4	3	3	4	3	4	5	6	52	0.0001829826	3.936336e-05	2.070822e-06	1.770604e-06
chr14	 32092609	 32092629	chr14-451	   32.60	+	ENSG00000100852	ARHGAP5	CDS|intron	CDS	CDS	2	0.0001482547	2	3	3	3	1	2	1	1	1	4	3	0	1	2	0	0	27	2.614037e-05	1.312112e-05	0	0
chr14	 32093351	 32093371	chr14-236	   38.30	+	ENSG00000100852	ARHGAP5	CDS|intron	CDS	CDS	2	0.0001395643	1	3	3	3	1	2	1	1	1	3	2	1	0	2	1	3	28	0	1.312112e-05	2.070822e-06	0
chr14	 32101071	 32101091	chr14-152	   43.60	+	ENSG00000100852	ARHGAP5	intron	intron	intron	1	0.0001557858	3	3	3	3	2	2	1	1	2	4	1	2	0	2	1	1	31	0	1.312112e-05	0	1.770604e-06
chr14	 32120877	 32120897	chr14-813	   18.50	+	ENSG00000100852	ARHGAP5	intron	intron	intron	1	6.560858e-05	3	3	1	3	2	2	2	1	1	2	2	2	1	2	1	0	28	0	0	4.141644e-06	1.770604e-06
chr14	 32138704	 32138724	chr14-309	   31.70	+	ENSG00000100852	ARHGAP5	intron	intron	intron	1	0.0001789868	3	2	3	3	2	2	1	2	2	3	0	3	1	2	1	2	32	0	1.312112e-05	0	1.770604e-06
chr14	 32139474	 32139494	chr14-355	   30.80	+	ENSG00000100852	ARHGAP5	intron	intron	intron	1	0.0001210301	3	3	3	3	2	1	1	1	1	3	1	1	0	2	1	1	27	2.614037e-05	1.312112e-05	0	0
chr14	 32154792	 32154812	chr14-608	   31.30	+	ENSG00000100852	ARHGAP5	3'UTR|CDS|CDS_Retained_intron	3'UTR	3'UTR	3	9.795413e-05	0	3	2	3	1	2	1	1	1	2	1	2	0	2	0	2	23	0	1.312112e-05	6.212466e-06	0
chr14	 32156179	 32156199	chr14-179	   47.20	+	ENSG00000100852	ARHGAP5	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	0.0002087112	1	3	3	3	2	2	1	1	2	3	1	2	0	2	0	3	29	0	1.312112e-05	4.141644e-06	0
chr14	 32157836	 32157856	chr14-2	  934.30	+	ENSG00000100852	ARHGAP5	3'UTR|Other	3'UTR	3'UTR	2	0.002920397	3	3	3	3	2	2	2	2	2	4	4	4	2	3	3	6	48	2.614037e-05	6.560561e-05	0	2.124725e-05
chr14	 32202078	 32202098	chr14-119	   57.70	+	ENSG00000201654	RNU6-7	snRNA	snRNA	ncRNA	1	0.0003283915	3	3	3	1	1	2	1	1	1	2	2	2	3	2	2	2	31	0	0	2.899151e-05	1.239423e-05
chr14	 32203216	 32203236	chr14-192	   51.10	-	ENSG00000202337	RNU6-8	snRNA	snRNA	ncRNA	1	0.0002221892	3	2	3	2	2	2	2	1	2	3	2	2	2	2	0	0	30	0	0	8.283288e-06	3.541208e-06
chr14	 32485091	 32485111	chr14-978	   56.00	+	ENSG00000151320	AKAP6	intron	intron	intron	1	0.0001484715	2	3	2	1	2	2	2	1	2	3	2	2	1	2	2	1	30	0	0	4.141644e-06	1.770604e-06
chr14	 34546727	 34546747	chr14-157	   83.70	+	ENSG00000206596	RNU1-27P	snRNA	snRNA	ncRNA	1	0.0006072128	3	3	3	3	2	2	2	2	2	3	4	4	1	4	2	3	43	2.614037e-05	2.624224e-05	1.035411e-05	7.082416e-06
chr14	 34546830	 34546850	chr14-432	   32.20	+	ENSG00000206596	RNU1-27P	snRNA	snRNA	ncRNA	1	0.0001252467	3	3	3	1	2	2	1	1	1	1	3	3	1	2	1	0	28	0	0	6.212466e-06	3.541208e-06
chr14	 34556255	 34556275	chr14-453	   29.10	-	ENSG00000206588	RNU1-28P	downstream 10K|snRNA	snRNA	ncRNA	2	0.0001592582	3	3	2	0	2	2	1	1	0	3	2	2	2	2	0	2	27	0	0	2.070822e-06	3.541208e-06
chr14	 34556355	 34556375	chr14-220	   73.60	-	ENSG00000206588	RNU1-28P	downstream 10K|snRNA	snRNA	ncRNA	2	0.0006296171	2	3	1	3	2	2	2	2	1	2	4	4	1	4	1	2	36	5.228075e-05	3.936336e-05	1.035411e-05	1.062362e-05
chr14	 34746626	 34746646	chr14-9618	    5.73	-			downstream 10K	DS10K	DS10K	1	2.426651e-05	0	0	0	0	1	1	0	0	0	0	0	0	1	2	0	1	6	0	0	8.283288e-06	1.770604e-06
chr14	 35820482	 35820502	chr14-385	   92.50	+				UnAn	UnAn	0	0.000416637	3	3	3	3	1	2	2	0	1	3	1	0	3	2	2	4	33	0	3.936336e-05	0	3.541208e-06
chr14	 38464974	 38464994	chr14-2487	   13.20	-			TE|unannotated	TE	TE	2	4.970579e-05	0	0	1	0	1	1	0	0	0	1	1	1	0	2	1	3	12	0	0	2.070822e-06	1.770604e-06
chr14	 38647983	 38648003	chr14-7921	    5.29	+			Other|unannotated	Other	Other	2	2.708483e-05	0	0	0	0	0	1	0	0	0	0	1	0	1	2	0	1	6	0	0	1.035411e-05	1.770604e-06
chr14	 39032516	 39032536	chr14-572	   27.80	-	ENSG00000100934	SEC23A	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	5.941776e-05	1	3	3	3	0	2	0	0	0	3	0	1	0	2	0	0	18	0	0	4.141644e-06	1.770604e-06
chr14	 39032600	 39032620	chr14-27	  158.20	-	ENSG00000100934	SEC23A	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	0.001031539	2	3	3	3	2	2	1	1	2	3	1	2	1	2	5	4	37	2.614037e-05	5.248448e-05	0	0
chr14	 43300765	 43300785	chr14-5	  468.00	+				UnAn	UnAn	0	0.002210898	3	3	3	3	2	2	2	2	2	5	4	4	3	4	4	7	53	2.614037e-05	7.872673e-05	2.070822e-06	3.541208e-06
chr14	 44735261	 44735281	chr14-9562	    3.08	+			TE|unannotated	TE	TE	2	1.599525e-05	0	0	0	0	1	1	0	0	0	0	0	0	1	2	0	1	6	0	0	2.070822e-06	1.770604e-06
chr14	 45063475	 45063495	chr14-16611	    2.20	-			TE|unannotated	TE	TE	2	7.966784e-06	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	1	5	0	0	2.070822e-06	1.770604e-06
chr14	 45110916	 45110936	chr14-287	   63.00	+	ENSG00000185246	PRPF39	downstream 10K|intron|snoRNA|CDS_Retained_intron	snoRNA	snoRNA	4	0.0001368693	3	3	0	1	2	2	2	1	1	3	2	1	1	2	0	0	24	0	0	2.070822e-06	5.311812e-06
chr14	 49536576	 49536596	chr14-408	   43.20	+			TE|Other|unannotated	TE	TE	3	0.0003275678	2	0	2	1	1	1	0	0	0	2	2	1	0	2	4	2	20	0	0	4.141644e-06	8.85302e-06
chr14	 49894480	 49894500	chr14-20	  170.10	+	ENSG00000165527	ARF6	3'UTR	3'UTR	3'UTR	1	0.0007530621	3	3	3	3	2	2	1	1	2	4	1	1	1	2	2	4	35	0	1.312112e-05	1.449575e-05	0
chr14	 49916787	 49916807	chr14-1737	   17.60	-				UnAn	UnAn	0	0.0002211142	0	0	1	0	1	1	0	0	0	1	2	1	0	2	2	4	15	0	0	4.141644e-06	1.770604e-06
chr14	 50755653	 50755673	chr14-3322	    7.93	-	ENSG00000100503	NIN	downstream 10K|intron|CDS_Retained_intron	CDS_RI	intron	3	0.0001029328	0	0	0	0	1	1	0	0	0	0	1	1	0	2	0	3	9	0	0	2.070822e-06	1.770604e-06
chr14	 51255213	 51255233	chr14-57	  191.30	+	ENSG00000139921	TMX1	3'UTR	3'UTR	3'UTR	1	0.0006143638	3	3	3	3	2	2	1	2	2	4	0	0	0	2	1	5	33	2.614037e-05	1.312112e-05	0	0
chr14	 52491351	 52491371	chr14-5775	    4.85	-	ENSG00000087301	TXNDC16	intron|TE	TE	TE	2	3.743961e-05	0	0	0	0	0	1	1	0	0	0	1	0	0	2	1	2	8	0	0	2.070822e-06	3.541208e-06
chr14	 52672775	 52672795	chr14-11000	    2.64	+			TE|unannotated	TE	TE	2	7.235342e-06	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	4	0	0	4.141644e-06	1.770604e-06
chr14	 52999357	 52999377	chr14-262	   73.60	+			unannotated	UnAn	UnAn	1	0.0002956867	3	3	3	3	0	1	1	1	3	3	1	0	1	3	2	4	32	2.614037e-05	1.312112e-05	0	1.770604e-06
chr14	 55045694	 55045714	chr14-724	   24.70	+	ENSG00000180008	SOCS4	3'UTR	3'UTR	3'UTR	1	8.659127e-05	2	3	3	3	1	1	0	0	0	3	0	1	0	2	1	1	21	2.614037e-05	1.312112e-05	0	0
chr14	 55065309	 55065329	chr14-64	  127.80	+	ENSG00000168175	MAPK1IP1L	3'UTR	3'UTR	3'UTR	1	0.0006990798	2	3	3	3	2	2	1	1	3	4	1	1	0	3	3	5	37	2.614037e-05	7.872673e-05	0	3.541208e-06
chr14	 55069024	 55069044	chr14-55	  108.00	+	ENSG00000168175	MAPK1IP1L	3'UTR	3'UTR	3'UTR	1	0.0004848514	3	3	3	3	2	2	1	1	2	4	2	2	0	2	3	5	38	2.614037e-05	2.624224e-05	0	0
chr14	 55430400	 55430420	chr14-13379	    3.08	+			Other|unannotated	Other	Other	2	1.127067e-05	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	2	5	0	0	2.070822e-06	1.770604e-06
chr14	 57200739	 57200759	chr14-81	   71.00	-	ENSG00000070367	EXOC5	3'UTR	3'UTR	3'UTR	1	0.0002528812	3	3	3	3	2	2	0	1	1	4	1	1	1	2	2	3	32	0	1.312112e-05	0	1.770604e-06
chr14	 58015753	 58015773	chr14-13617	    3.08	+			Other|unannotated	Other	Other	2	1.169167e-05	0	0	0	0	1	1	0	0	0	0	1	2	0	2	0	0	7	0	0	2.070822e-06	1.770604e-06
chr14	 61833971	 61833991	chr14-12913	    3.08	-				UnAn	UnAn	0	1.007223e-05	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	2	5	0	0	2.070822e-06	1.770604e-06
chr14	 61936429	 61936449	chr14-3305	   34.40	-			unannotated	UnAn	UnAn	1	0.0006204388	3	2	2	3	2	2	1	1	2	1	1	3	2	2	1	2	30	2.614037e-05	0	0	1.770604e-06
chr14	 62116609	 62116629	chr14-10494	    3.53	-	ENSG00000258903		intron|lncRNA	lncRNA	ncRNA	2	1.451036e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	5	0	0	6.212466e-06	1.770604e-06
chr14	 63372616	 63372636	chr14-4269	    5.73	-	ENSG00000154001	PPP2R5E	3'UTR	3'UTR	3'UTR	1	5.130648e-05	0	1	0	1	2	2	0	1	0	2	0	0	0	2	0	0	11	2.614037e-05	1.312112e-05	0	0
chr14	 64523992	 64524012	chr14-113	   49.40	+	ENSG00000126804	ZBTB1	3'UTR|intron	3'UTR	3'UTR	2	0.0002066689	2	3	3	3	1	2	1	1	1	3	2	2	2	2	0	3	31	0	0	1.449575e-05	1.770604e-06
chr14	 64980675	 64980695	chr14-5041	    5.73	+	ENSG00000125954	CHURC1-FNTB	intron	intron	intron	1	4.356704e-05	1	2	2	3	0	0	0	0	0	2	0	0	0	2	1	0	13	2.614037e-05	0	2.070822e-06	0
chr14	 65480301	 65480321	chr14-13539	    2.20	-			TE|unannotated	TE	TE	2	1.610595e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	4	0	0	4.141644e-06	1.770604e-06
chr14	 66860794	 66860814	chr14-12718	    3.97	-			unannotated	UnAn	UnAn	1	2.310499e-05	0	1	0	1	1	0	1	0	0	0	0	2	0	2	0	0	8	0	0	2.070822e-06	1.770604e-06
chr14	 67279078	 67279098	chr14-614	   21.20	+	ENSG00000072415	PALS1	5'UTR|intron|CDS_Retained_intron	5'UTR	5'UTR	3	0.0001084897	2	3	3	3	2	2	0	1	2	4	0	0	0	2	0	2	26	0	1.312112e-05	0	1.770604e-06
chr14	 67809419	 67809439	chr14-15417	    2.20	-	ENSG00000072121	ZFYVE26	intron|TE|CDS_Retained_intron	TE	TE	3	1.401272e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	5	0	0	2.070822e-06	1.770604e-06
chr14	 68788296	 68788316	chr14-79	   87.70	-	ENSG00000185650	ZFP36L1	3'UTR	3'UTR	3'UTR	1	0.0003195202	3	3	3	3	2	2	1	1	2	3	1	1	0	2	1	4	32	2.614037e-05	1.312112e-05	0	0
chr14	 68788710	 68788730	chr14-9	  394.00	-	ENSG00000185650	ZFP36L1	3'UTR	3'UTR	3'UTR	1	0.0009262967	3	3	3	3	2	2	1	1	2	4	2	3	1	3	1	4	38	0	1.312112e-05	8.283288e-06	1.770604e-06
chr14	 69380304	 69380324	chr14-15	  146.80	-	ENSG00000100632	ERH	3'UTR	3'UTR	3'UTR	1	0.0009304484	3	3	3	3	2	2	2	2	2	4	3	2	2	3	3	5	44	0	1.312112e-05	2.070822e-06	1.770604e-06
chr14	 69380409	 69380429	chr14-541	   32.60	-	ENSG00000100632	ERH	3'UTR	3'UTR	3'UTR	1	0.0001311184	2	3	3	3	1	1	1	1	0	3	1	0	0	2	0	1	22	2.614037e-05	1.312112e-05	0	0
chr14	 69459514	 69459534	chr14-459	  108.90	+	ENSG00000029364	SLC39A9	3'UTR|intron	3'UTR	3'UTR	2	0.0003008002	3	3	3	3	2	2	1	1	1	4	0	1	0	2	2	4	32	2.614037e-05	1.312112e-05	0	0
chr14	 69459574	 69459594	chr14-68	   71.80	+	ENSG00000029364	SLC39A9	3'UTR|intron|Other	3'UTR	3'UTR	3	0.0003330241	3	3	3	3	2	2	1	1	1	4	0	1	0	2	1	5	32	0	1.312112e-05	0	1.770604e-06
chr14	 69770199	 69770219	chr14-3	  424.00	+	ENSG00000100650	SRSF5	3'UTR|intron|Other|CDS_Retained_intron	3'UTR	3'UTR	4	0.00124505	3	3	3	3	2	2	2	1	2	3	4	4	1	2	2	3	40	2.614037e-05	0	0	5.311812e-06
chr14	 70144315	 70144335	chr14-242	   42.70	-	ENSG00000100678	SLC8A3	intron	intron	intron	1	0.0004816225	1	3	3	2	1	1	0	1	0	3	2	2	0	2	3	4	28	0	0	8.283288e-06	3.541208e-06
chr14	 70577236	 70577256	chr14-3499	    6.61	-			downstream 10K	DS10K	DS10K	1	4.106565e-05	0	3	2	1	1	1	0	0	0	2	0	0	0	2	1	0	13	2.614037e-05	0	0	3.541208e-06
chr14	 71760612	 71760632	chr14-16157	    2.20	-			TE|unannotated	TE	TE	2	1.605462e-05	0	0	0	0	1	0	1	0	0	0	0	1	0	2	0	1	6	0	0	2.070822e-06	1.770604e-06
chr14	 72911148	 72911168	chr14-5964	   11.90	+			TE|unannotated	TE	TE	2	4.64878e-05	0	0	0	0	1	1	0	1	0	0	1	1	1	2	1	0	9	0	0	4.141644e-06	3.541208e-06
chr14	 73119730	 73119750	chr14-3687	    6.17	+	ENSG00000119707	RBM25	3'UTR|CDS|CDS_Retained_intron	3'UTR	3'UTR	3	3.944992e-05	0	3	0	2	0	0	0	0	0	2	0	0	0	2	0	0	9	2.614037e-05	0	2.070822e-06	0
chr14	 73146186	 73146206	chr14-9664	    3.53	-			TE|unannotated	TE	TE	2	1.121705e-05	1	0	0	0	1	1	0	0	0	0	0	0	0	2	0	2	7	0	0	2.070822e-06	1.770604e-06
chr14	 74097441	 74097461	chr14-12011	    2.64	+	ENSG00000205659	LIN52	intron|CDS_Retained_intron	CDS_RI	intron	2	3.320477e-05	1	0	2	0	0	1	0	0	0	0	0	0	0	2	0	0	6	2.614037e-05	0	2.070822e-06	0
chr14	 74730224	 74730244	chr14-898	   20.70	+	ENSG00000119616	FCF1	downstream 10K|intron|CDS_Retained_intron	CDS_RI	intron	3	7.820372e-05	1	2	3	3	0	1	0	0	0	0	0	1	0	2	2	2	17	0	1.312112e-05	2.070822e-06	0
chr14	 77783827	 77783847	chr14-11828	    2.20	+			TE|unannotated	TE	TE	2	1.840437e-05	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	1	5	0	0	4.141644e-06	1.770604e-06
chr14	 81178010	 81178030	chr14-211	   74.90	-	ENSG00000165417	GTF2A1	3'UTR	3'UTR	3'UTR	1	0.0002099804	2	3	3	3	1	2	1	1	1	3	1	1	0	2	1	1	26	2.614037e-05	1.312112e-05	0	0
chr14	 81476375	 81476395	chr14-200	   64.30	-	ENSG00000071537	SEL1L	3'UTR	3'UTR	3'UTR	1	0.0002915043	1	3	3	3	2	1	1	1	3	4	0	1	0	4	2	2	31	2.614037e-05	1.312112e-05	6.212466e-06	1.770604e-06
chr14	 81663213	 81663233	chr14-93	   82.00	+				UnAn	UnAn	0	0.0003138219	3	3	3	3	2	2	1	2	0	2	2	2	0	3	1	5	34	0	2.624224e-05	4.141644e-06	1.770604e-06
