chr	start	end	name	score	strand	gene	external_gene_name	annotation	finalized_annotation	grouped_annotation	annotation_count	TOTAL_TagCount	Nuc_F_M_BC	Nuc_F_S_BC	Cyto_F_M_BC	Cyto_F_S_BC	NLS_I_M_BC	NLS_I_S_BC	NES_I_M_BC	NES_I_S_BC	G3BP_I_M_BC	G3BP_I_S_BC	NLS_E_M_BC	NLS_E_S_BC	NES_E_M_BC	NES_E_S_BC	G3BP_E_M_BC	G3BP_E_S_BC	TOTAL_BC	NLS_E_S_1	NLS_E_S_2	NLS_E_S_3	NLS_E_S_4
chr10	 18676467	 18676487	chr10-2575	    9.70	+	ENSG00000165997	ARL5B	3'UTR	3'UTR	3'UTR	1	9.052117e-05	3	1	3	3	1	1	0	1	0	3	0	2	0	0	1	2	21	1.386943e-05	0	1.910997e-06	0
chr10	 21164659	 21164679	chr10-18172	    5.73	-	ENSG00000078114	NEBL	intron|CDS_Retained_intron	CDS_RI	intron	2	1.41898e-05	0	0	1	0	1	2	0	0	1	1	1	2	0	0	0	0	9	0	0	1.910997e-06	2.903482e-06
chr10	 21321992	 21322012	chr10-179	   48.50	+	ENSG00000207264	RNU6-15P	snRNA	snRNA	ncRNA	1	0.000197755	3	2	3	1	2	2	0	0	1	3	3	2	2	2	1	1	28	0	0	1.910997e-05	1.451741e-05
chr10	 21878899	 21878919	chr10-12331	    2.20	-	ENSG00000136770	DNAJC1	intron	intron	intron	1	2.287288e-05	0	2	1	2	1	0	0	0	0	0	0	2	0	0	0	0	8	1.386943e-05	4.457619e-06	0	0
chr10	 22536700	 22536720	chr10-5	  409.90	-	ENSG00000150867	PIP4K2A	3'UTR	3'UTR	3'UTR	1	0.001276329	3	3	3	3	2	2	1	1	1	4	2	2	1	4	3	5	40	0	1.783048e-05	0	2.903482e-06
chr10	 23138487	 23138507	chr10-14	  275.00	+			Other	Other	Other	1	0.001192316	3	3	3	3	2	2	1	2	2	4	3	3	1	2	4	6	44	0	8.915238e-06	1.910997e-06	5.806965e-06
chr10	 26751937	 26751957	chr10-1177	   13.20	-	ENSG00000136754	ABI1	intron	intron	intron	1	4.29734e-05	1	3	0	3	2	2	1	0	2	3	0	2	0	0	0	1	20	0	4.457619e-06	1.910997e-06	0
chr10	 26774369	 26774389	chr10-7629	    5.29	-	ENSG00000136754	ABI1	intron	intron	intron	1	2.657464e-05	0	0	0	3	1	1	1	0	1	0	1	2	0	0	0	0	10	1.386943e-05	0	1.910997e-06	0
chr10	 26810798	 26810818	chr10-640	   21.20	-	ENSG00000136754	ABI1	intron	intron	intron	1	5.435331e-05	3	3	3	3	0	2	0	2	0	3	0	2	0	0	0	1	22	0	4.457619e-06	0	2.903482e-06
chr10	 27541650	 27541670	chr10-679	   20.30	+	ENSG00000099246	RAB18	3'UTR|intron|CDS_Retained_intron	3'UTR	3'UTR	3	4.727592e-05	2	3	3	3	2	1	0	0	1	2	0	2	0	0	1	0	20	0	0	1.910997e-06	2.903482e-06
chr10	 27909819	 27909839	chr10-5961	    5.29	+			TE	TE	TE	1	2.356303e-05	0	0	0	0	1	1	1	0	0	0	1	2	0	0	1	2	9	0	0	1.910997e-06	2.903482e-06
chr10	 28535240	 28535260	chr10-1157	   13.20	+	ENSG00000095787	WAC	downstream 10K|intron|CDS_Retained_intron	CDS_RI	intron	3	4.201707e-05	3	2	2	3	1	1	1	2	0	2	0	2	0	0	0	1	20	0	4.457619e-06	1.910997e-06	0
chr10	 28538194	 28538214	chr10-200	   37.90	+	ENSG00000095787	WAC	downstream 10K|intron|CDS_Retained_intron	CDS_RI	intron	3	0.0001086781	3	3	3	3	1	1	1	1	1	3	1	2	0	0	1	1	25	1.386943e-05	4.457619e-06	0	0
chr10	 28541064	 28541084	chr10-2963	    6.17	+	ENSG00000095787	WAC	downstream 10K|intron|CDS_Retained_intron	CDS_RI	intron	3	3.034913e-05	3	1	1	1	1	1	1	1	0	1	0	2	0	0	0	1	14	0	4.457619e-06	1.910997e-06	0
chr10	 28584703	 28584723	chr10-276	   30.00	+	ENSG00000095787	WAC	downstream 10K|intron|CDS_Retained_intron	CDS_RI	intron	3	0.0001163382	3	3	3	3	1	2	1	0	1	3	2	2	0	0	0	1	25	1.386943e-05	4.457619e-06	0	0
chr10	 28585558	 28585578	chr10-236	   33.10	+	ENSG00000095787	WAC	downstream 10K|intron|Other|CDS_Retained_intron	Other	Other	4	0.0001512927	3	2	2	3	2	1	1	1	2	3	0	2	1	0	0	0	23	0	0	7.643989e-06	2.903482e-06
chr10	 28600270	 28600290	chr10-3763	    6.17	+	ENSG00000095787	WAC	downstream 10K|intron|CDS_Retained_intron	CDS_RI	intron	3	1.741328e-05	0	1	1	0	2	1	1	0	0	2	1	2	0	0	0	0	11	0	0	1.910997e-06	2.903482e-06
chr10	 28608574	 28608594	chr10-161	   53.80	+	ENSG00000095787	WAC	3'UTR|intron|Other|CDS_Retained_intron	3'UTR	3'UTR	4	0.0001665601	3	3	3	3	1	2	1	0	2	3	0	2	0	0	2	1	26	0	4.457619e-06	1.910997e-06	0
chr10	 28610249	 28610269	chr10-8157	    4.41	+	ENSG00000095787	WAC	downstream 10K|intron|CDS_Retained_intron	CDS_RI	intron	3	1.501942e-05	0	1	0	2	1	1	0	0	1	0	1	2	0	0	0	0	9	0	4.457619e-06	1.910997e-06	0
chr10	 28611102	 28611122	chr10-400	   26.90	+	ENSG00000095787	WAC	3'UTR|intron|CDS_Retained_intron	3'UTR	3'UTR	3	8.572107e-05	3	3	1	3	2	1	2	1	1	3	0	2	0	0	0	0	22	1.386943e-05	0	1.910997e-06	0
chr10	 28667960	 28667980	chr10-956	   15.40	+	ENSG00000207483	RNU6-1067P	snRNA	snRNA	ncRNA	1	6.256361e-05	2	1	1	1	2	2	0	0	0	0	2	2	0	2	1	1	17	0	4.457619e-06	5.732992e-06	0
chr10	 29424065	 29424085	chr10-10839	    2.64	+	ENSG00000291093	SVIL-AS1	intron|TE|lncRNA	lncRNA	ncRNA	3	1.55865e-05	2	0	0	0	1	0	0	0	1	0	1	2	0	0	0	0	7	0	4.457619e-06	1.910997e-06	0
chr10	 31330328	 31330348	chr10-7519	    3.97	+	ENSG00000148516	ZEB1	intron|CDS_Retained_intron	CDS_RI	intron	2	1.612638e-05	0	0	1	2	1	1	0	0	0	0	1	2	0	0	0	0	8	0	4.457619e-06	0	2.903482e-06
chr10	 32009922	 32009942	chr10-43	   93.40	-	ENSG00000170759	KIF5B	3'UTR	3'UTR	3'UTR	1	0.0002978293	3	3	3	3	2	2	1	1	1	4	0	3	0	1	2	3	32	0	8.915238e-06	1.910997e-06	5.806965e-06
chr10	 32011025	 32011045	chr10-441	   26.40	-	ENSG00000170759	KIF5B	3'UTR	3'UTR	3'UTR	1	0.0001288937	2	2	3	2	2	2	2	1	2	3	0	3	0	1	0	3	28	1.386943e-05	4.457619e-06	1.910997e-06	0
chr10	 32295437	 32295457	chr10-15443	    2.20	-	ENSG00000120616	EPC1	intron|CDS_Retained_intron	CDS_RI	intron	2	1.086459e-05	0	1	0	1	1	0	0	0	1	0	0	2	0	0	0	0	6	0	4.457619e-06	1.910997e-06	0
chr10	 32900616	 32900636	chr10-68	   92.10	-	ENSG00000150093	ITGB1	3'UTR|intron|CDS_Retained_intron	3'UTR	3'UTR	3	0.0007053682	3	3	3	3	2	2	1	1	1	3	3	2	1	3	3	5	39	0	4.457619e-06	1.910997e-06	0
chr10	 32901391	 32901411	chr10-28	  147.60	-	ENSG00000150093	ITGB1	3'UTR|intron|CDS_Retained_intron	3'UTR	3'UTR	3	0.0006302428	3	3	3	3	2	2	1	2	2	4	3	2	1	1	3	6	41	0	0	3.821994e-06	2.903482e-06
chr10	 32948952	 32948972	chr10-89	   49.40	-	ENSG00000150093	ITGB1	intron|CDS_Retained_intron	CDS_RI	intron	2	0.0001557782	3	3	3	3	2	1	1	2	2	3	0	3	0	0	1	0	27	0	1.337286e-05	3.821994e-06	1.161393e-05
chr10	 33177672	 33177692	chr10-247	   43.60	-	ENSG00000099250	NRP1	3'UTR	3'UTR	3'UTR	1	0.0002576057	2	3	3	3	2	1	1	0	2	3	1	3	0	0	2	4	30	0	4.457619e-06	1.910997e-06	2.903482e-06
chr10	 33208902	 33208922	chr10-20283	    2.20	-	ENSG00000099250	NRP1	downstream 10K|intron|TE	TE	TE	3	7.468423e-06	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	4	0	0	1.910997e-06	2.903482e-06
chr10	 33249209	 33249229	chr10-20315	    2.64	-	ENSG00000099250	NRP1	downstream 10K|intron	intron	intron	2	2.061523e-05	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	4	1.386943e-05	4.457619e-06	0	0
chr10	 33328040	 33328060	chr10-422	   29.10	-	ENSG00000099250	NRP1	intron	intron	intron	1	7.366253e-05	3	3	3	3	1	1	0	1	2	1	1	3	0	0	1	0	23	0	4.457619e-06	1.910997e-06	2.903482e-06
chr10	 34299896	 34299916	chr10-5556	    4.85	-	ENSG00000148498	PARD3	intron	intron	intron	1	1.397724e-05	1	1	0	2	0	1	0	0	0	0	0	2	0	0	0	0	7	0	4.457619e-06	0	2.903482e-06
chr10	 34443287	 34443307	chr10-1046	   15.40	-	ENSG00000148498	PARD3	intron	intron	intron	1	5.679839e-05	3	3	3	3	1	2	0	0	1	3	0	2	0	0	2	0	23	1.386943e-05	0	0	2.903482e-06
chr10	 34547924	 34547944	chr10-8850	    3.53	-	ENSG00000148498	PARD3	intron	intron	intron	1	2.102059e-05	0	1	0	1	0	1	0	0	1	0	0	2	0	0	0	0	6	1.386943e-05	0	1.910997e-06	0
chr10	 34560284	 34560304	chr10-11721	    3.97	-	ENSG00000148498	PARD3	intron	intron	intron	1	1.166438e-05	0	0	0	2	2	1	0	0	1	1	0	2	0	0	0	0	9	0	4.457619e-06	1.910997e-06	0
chr10	 34629730	 34629750	chr10-217	   48.90	-	ENSG00000148498	PARD3	intron	intron	intron	1	0.0001254003	3	3	3	3	2	1	1	1	1	3	1	2	0	0	2	0	26	1.386943e-05	8.915238e-06	0	0
chr10	 34643602	 34643622	chr10-4372	    6.17	-	ENSG00000148498	PARD3	intron	intron	intron	1	2.568371e-05	1	1	0	2	2	0	1	2	0	1	0	2	0	0	0	0	12	0	4.457619e-06	0	2.903482e-06
chr10	 34663786	 34663806	chr10-219	   42.70	-	ENSG00000148498	PARD3	intron	intron	intron	1	9.569101e-05	3	3	2	3	2	2	1	0	1	2	0	2	0	0	0	0	21	0	0	1.910997e-06	2.903482e-06
chr10	 34669578	 34669598	chr10-1347	   13.20	-	ENSG00000148498	PARD3	intron	intron	intron	1	3.19338e-05	2	3	2	2	2	2	1	0	0	2	0	2	0	0	0	0	18	0	0	3.821994e-06	2.903482e-06
chr10	 34752259	 34752279	chr10-130	   51.10	-	ENSG00000148498	PARD3	intron	intron	intron	1	0.0001046451	3	3	3	3	1	2	0	1	1	3	0	2	0	0	2	0	24	0	0	7.643989e-06	2.903482e-06
chr10	 36628536	 36628556	chr10-4641	    6.17	+			TE|unannotated	TE	TE	2	2.509209e-05	0	0	0	0	1	1	0	0	0	1	0	2	0	1	1	2	9	0	0	1.910997e-06	5.806965e-06
chr10	 38099154	 38099174	chr10-4271	    5.29	+	ENSG00000075407	ZNF37A	intron	intron	intron	1	2.080686e-05	3	1	0	2	2	1	1	1	0	1	0	2	0	0	0	0	14	0	4.457619e-06	0	2.903482e-06
chr10	 45004708	 45004728	chr10-76	   62.60	+	ENSG00000165512	ZNF22	3'UTR	3'UTR	3'UTR	1	0.0002475817	3	3	3	3	2	2	1	1	1	4	0	2	0	0	3	3	31	0	0	1.910997e-06	2.903482e-06
chr10	 46339914	 46339934	chr10-4571	    5.73	+	ENSG00000279058	AGAP14P	downstream 10K|intron|Other	Other	Other	3	1.753683e-05	1	2	2	2	1	1	0	0	0	0	0	2	0	0	1	0	12	0	4.457619e-06	0	2.903482e-06
chr10	 47460380	 47460400	chr10-16044	    2.20	+			unannotated	UnAn	UnAn	1	7.347663e-06	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	4	0	0	1.910997e-06	2.903482e-06
chr10	 48028908	 48028928	chr10-4928	    6.17	+			TE|unannotated	TE	TE	2	2.515291e-05	0	0	0	0	1	1	0	1	0	0	0	2	0	0	1	2	8	0	0	1.910997e-06	2.903482e-06
chr10	 48436275	 48436295	chr10-57	   73.60	+	ENSG00000107643	MAPK8	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	0.0003751586	3	3	3	3	2	2	1	1	1	3	0	4	0	1	2	5	34	1.386943e-05	1.783048e-05	1.910997e-06	2.903482e-06
chr10	 49911574	 49911594	chr10-11249	    3.08	-	ENSG00000227345	PARG	downstream 10K|intron	intron	intron	2	1.054653e-05	1	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	5	0	4.457619e-06	1.910997e-06	0
chr10	 49991342	 49991362	chr10-4818	    4.41	+	ENSG00000178440	TIMM23B-AGAP6	downstream 10K|intron|CDS_Retained_intron	CDS_RI	intron	3	1.484021e-05	2	1	0	0	1	0	0	0	0	1	0	2	0	0	0	0	7	0	4.457619e-06	1.910997e-06	0
chr10	 50614122	 50614142	chr10-2561	    8.81	-	ENSG00000198964	SGMS1	intron	intron	intron	1	2.159512e-05	2	0	3	3	1	1	1	0	0	0	1	2	0	0	0	0	14	0	0	1.910997e-06	2.903482e-06
chr10	 50799708	 50799728	chr10-6	  332.30	-	ENSG00000148584	A1CF	3'UTR	3'UTR	3'UTR	1	0.001067628	3	3	3	3	2	2	1	1	2	4	2	4	1	2	3	4	40	1.386943e-05	2.22881e-05	3.821994e-06	5.806965e-06
chr10	 50802845	 50802865	chr10-315	   31.30	-	ENSG00000148584	A1CF	3'UTR	3'UTR	3'UTR	1	0.0001651236	3	3	3	3	2	1	1	1	1	4	1	3	1	1	2	2	32	1.386943e-05	8.915238e-06	1.910997e-06	0
chr10	 50851465	 50851485	chr10-1742	   10.60	-	ENSG00000148584	A1CF	intron	intron	intron	1	3.741765e-05	2	2	3	2	2	2	0	1	0	2	1	2	0	0	0	0	19	0	4.457619e-06	1.910997e-06	0
chr10	 50863037	 50863057	chr10-4889	    5.73	-	ENSG00000148584	A1CF	intron	intron	intron	1	2.668582e-05	1	1	3	1	0	1	0	0	2	0	1	2	0	0	0	0	12	0	4.457619e-06	0	2.903482e-06
chr10	 50867167	 50867187	chr10-639	   22.00	-	ENSG00000148584	A1CF	intron	intron	intron	1	7.429469e-05	3	3	3	3	1	1	1	0	1	1	1	2	0	0	0	0	20	1.386943e-05	4.457619e-06	0	0
chr10	 50872149	 50872169	chr10-370	   31.70	-	ENSG00000148584	A1CF	intron	intron	intron	1	8.565426e-05	3	3	2	3	2	2	1	0	1	4	0	2	0	0	0	0	23	1.386943e-05	0	0	2.903482e-06
chr10	 50875252	 50875272	chr10-391	   38.80	-	ENSG00000148584	A1CF	intron	intron	intron	1	0.0001331348	3	3	3	3	2	2	2	0	2	3	1	2	0	0	1	0	27	0	4.457619e-06	1.910997e-06	0
chr10	 50882979	 50882999	chr10-440	   23.80	-	ENSG00000148584	A1CF	intron	intron	intron	1	6.192103e-05	2	3	3	3	0	2	0	0	1	2	2	2	0	0	0	0	20	0	4.457619e-06	5.732992e-06	0
chr10	 50884859	 50884879	chr10-2787	    8.81	-	ENSG00000148584	A1CF	intron	intron	intron	1	2.471238e-05	1	2	2	2	1	1	0	0	0	3	0	2	0	0	0	0	14	0	4.457619e-06	0	2.903482e-06
chr10	 55706357	 55706377	chr10-13944	    3.53	-			unannotated	UnAn	UnAn	1	1.301815e-05	1	0	1	1	1	2	0	0	0	2	0	2	0	0	0	1	11	0	0	1.910997e-06	2.903482e-06
chr10	 55760123	 55760143	chr10-15026	    3.08	-			unannotated	UnAn	UnAn	1	9.646793e-06	1	1	0	0	0	0	1	0	0	1	0	2	0	0	0	0	6	0	0	1.910997e-06	2.903482e-06
chr10	 56595962	 56595982	chr10-2933	   19.00	-	ENSG00000238707		snoRNA	snoRNA	snoRNA	1	8.576345e-05	2	1	0	0	2	2	1	1	1	1	1	2	0	1	1	0	16	0	8.915238e-06	0	2.903482e-06
chr10	 58564116	 58564136	chr10-7800	    3.53	+	ENSG00000122870	BICC1	intron	intron	intron	1	1.271956e-05	2	1	0	3	0	0	1	0	0	0	0	2	0	0	0	0	9	0	4.457619e-06	1.910997e-06	0
chr10	 58829208	 58829228	chr10-592	   20.70	+	ENSG00000122870	BICC1	3'UTR|Other	3'UTR	3'UTR	2	0.0006010074	3	3	3	3	2	2	1	1	2	4	0	2	0	1	3	4	34	0	0	1.910997e-06	2.903482e-06
chr10	 58829217	 58829237	chr10-17	  176.30	+	ENSG00000122870	BICC1	3'UTR|Other	3'UTR	3'UTR	2	0.0006091033	3	3	3	3	2	2	1	1	2	4	0	2	0	1	3	4	34	0	0	1.910997e-06	2.903482e-06
chr10	 58918830	 58918850	chr10-432	   34.40	+			unannotated	UnAn	UnAn	1	9.034552e-05	1	3	3	3	2	2	1	0	0	3	2	2	0	2	1	2	27	0	0	1.910997e-06	2.903482e-06
chr10	 60027284	 60027304	chr10-699	   22.00	-	ENSG00000151150	ANK3	3'UTR	3'UTR	3'UTR	1	0.0002423425	0	0	2	0	1	1	0	0	0	3	2	2	0	2	2	3	18	0	0	3.821994e-06	2.903482e-06
chr10	 60379854	 60379874	chr10-6384	    3.97	-	ENSG00000151150	ANK3	intron	intron	intron	1	2.477748e-05	0	1	1	1	1	2	0	0	0	1	0	2	0	0	0	0	9	1.386943e-05	4.457619e-06	0	0
chr10	 63234495	 63234515	chr10-10443	    3.97	+			TE|unannotated	TE	TE	2	1.087793e-05	0	0	0	0	1	1	0	0	0	0	1	2	0	0	0	1	6	0	0	1.910997e-06	2.903482e-06
chr10	 63243704	 63243724	chr10-309	   38.80	-	ENSG00000171988	JMJD1C	intron	intron	intron	1	9.475606e-05	3	3	3	3	1	1	1	0	1	3	1	2	0	0	1	0	23	1.386943e-05	0	1.910997e-06	0
chr10	 63261627	 63261647	chr10-6869	    4.85	-	ENSG00000171988	JMJD1C	intron	intron	intron	1	2.489031e-05	2	1	0	2	0	1	0	0	0	0	0	2	0	0	0	0	8	1.386943e-05	4.457619e-06	0	0
chr10	 63328321	 63328341	chr10-8213	    3.53	-	ENSG00000171988	JMJD1C	intron	intron	intron	1	4.619751e-05	0	0	0	0	1	0	0	0	1	1	1	2	0	0	0	2	8	1.386943e-05	4.457619e-06	0	0
chr10	 63333134	 63333154	chr10-5585	    4.85	-	ENSG00000171988	JMJD1C	intron	intron	intron	1	1.523022e-05	1	2	0	2	0	1	1	0	1	0	0	2	0	0	1	0	11	0	4.457619e-06	1.910997e-06	0
chr10	 63448017	 63448037	chr10-302	   58.20	-	ENSG00000171988	JMJD1C	intron	intron	intron	1	0.0001336645	3	3	3	3	2	2	1	0	1	3	2	2	0	0	2	1	28	0	0	1.910997e-06	2.903482e-06
chr10	 63810827	 63810847	chr10-20352	    2.20	+	ENSG00000228566		intron|lncRNA	lncRNA	ncRNA	2	1.145591e-05	0	1	1	0	0	1	1	0	0	1	0	2	0	0	1	0	8	0	0	1.910997e-06	2.903482e-06
chr10	 65673040	 65673060	chr10-6382	    4.41	+	ENSG00000228065	LINC01515	intron|lncRNA	lncRNA	ncRNA	2	1.436763e-05	1	2	0	0	1	1	0	1	0	0	0	2	0	0	0	0	8	0	0	3.821994e-06	2.903482e-06
chr10	 67930213	 67930233	chr10-425	   24.70	-	ENSG00000148634	HERC4	downstream 10K|intron|TE	TE	TE	3	5.532149e-05	3	3	3	3	1	1	1	0	1	2	0	2	0	0	0	0	20	0	4.457619e-06	1.910997e-06	0
chr10	 68031099	 68031119	chr10-8819	    3.53	-	ENSG00000148634	HERC4	downstream 10K|intron	intron	intron	2	2.948603e-05	2	1	1	1	0	0	0	0	0	2	0	2	0	0	0	0	9	1.386943e-05	4.457619e-06	0	0
chr10	 68061122	 68061142	chr10-5796	    4.85	-	ENSG00000148634	HERC4	downstream 10K|intron	intron	intron	2	3.107639e-05	1	0	2	1	1	1	1	0	0	1	0	2	0	0	0	0	10	1.386943e-05	4.457619e-06	0	0
chr10	 68337776	 68337796	chr10-350	   27.30	+	ENSG00000096746	HNRNPH3	intron|Other	Other	Other	2	0.0001705641	3	3	3	3	2	2	2	1	2	3	3	2	1	1	3	1	35	0	4.457619e-06	1.910997e-06	0
chr10	 68337851	 68337871	chr10-1275	   12.80	+	ENSG00000096746	HNRNPH3	CDS|intron	CDS	CDS	2	7.544537e-05	1	2	2	3	2	2	1	1	1	1	0	2	0	0	0	3	21	1.386943e-05	4.457619e-06	0	0
chr10	 68756152	 68756172	chr10-1292	   12.30	+	ENSG00000060339	CCAR1	downstream 10K|intron	intron	intron	2	4.50072e-05	1	3	0	2	1	1	1	0	1	1	0	2	0	0	2	1	16	0	4.457619e-06	0	2.903482e-06
chr10	 70112219	 70112239	chr10-265	   33.10	+	ENSG00000099284	MACROH2A2	3'UTR|Other|CDS_Retained_intron	3'UTR	3'UTR	3	8.764633e-05	2	3	3	3	1	1	0	0	1	2	0	2	0	0	2	3	23	0	0	1.910997e-06	2.903482e-06
chr10	 70151242	 70151262	chr10-16	  179.40	-	ENSG00000079332	SAR1A	3'UTR	3'UTR	3'UTR	1	0.0006624342	3	3	3	3	2	2	1	1	2	4	1	2	0	2	2	6	37	0	0	1.910997e-06	2.903482e-06
chr10	 70152025	 70152045	chr10-9	  366.20	-	ENSG00000079332	SAR1A	3'UTR	3'UTR	3'UTR	1	0.0012908	3	3	3	3	2	2	1	2	3	4	2	2	0	0	3	5	38	0	8.915238e-06	0	2.903482e-06
chr10	 70352233	 70352253	chr10-61	  910.10	+			unannotated	UnAn	UnAn	1	0.002705978	3	3	3	3	2	2	2	2	2	4	3	4	1	1	3	6	44	1.386943e-05	1.783048e-05	4.013094e-05	4.064875e-05
chr10	 70352304	 70352324	chr10-1173	   15.40	+			unannotated	UnAn	UnAn	1	6.610279e-05	1	2	2	3	1	2	0	0	1	2	1	2	0	1	1	0	19	0	4.457619e-06	1.910997e-06	0
chr10	 70423648	 70423668	chr10-354	   27.80	+	ENSG00000148730	EIF4EBP2	3'UTR	3'UTR	3'UTR	1	7.172183e-05	3	3	3	3	1	2	1	0	0	3	0	2	0	0	1	0	22	0	4.457619e-06	0	2.903482e-06
chr10	 70427974	 70427994	chr10-13	  196.60	+	ENSG00000148730	EIF4EBP2	3'UTR|Other	3'UTR	3'UTR	2	0.0007500604	3	3	3	3	2	2	1	2	3	5	2	2	0	1	2	5	39	1.386943e-05	0	2.102097e-05	0
chr10	 70824578	 70824598	chr10-126	   91.70	-			unannotated	UnAn	UnAn	1	0.0003755945	2	3	3	3	1	2	1	1	0	5	1	3	0	0	2	3	30	0	4.457619e-06	1.910997e-06	2.903482e-06
chr10	 71823797	 71823817	chr10-87	   59.10	-	ENSG00000197746	PSAP	intron	intron	intron	1	0.0001569758	3	3	3	3	2	1	1	1	1	3	0	2	0	1	1	0	25	1.386943e-05	4.457619e-06	0	0
chr10	 72538548	 72538568	chr10-7573	    4.41	-	ENSG00000107745	MICU1	intron	intron	intron	1	2.20668e-05	1	1	0	2	0	0	0	0	0	1	0	2	0	0	0	0	7	1.386943e-05	0	1.910997e-06	0
chr10	 73007562	 73007582	chr10-12	  654.90	-	ENSG00000122884	P4HA1	3'UTR	3'UTR	3'UTR	1	0.001840736	3	3	3	3	2	2	2	2	2	5	3	2	2	3	2	6	45	0	0	7.643989e-06	2.903482e-06
chr10	 73037575	 73037595	chr10-19795	    3.53	-	ENSG00000122884	P4HA1	intron	intron	intron	1	1.43778e-05	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	2	6	0	0	1.910997e-06	5.806965e-06
chr10	 73091156	 73091176	chr10-298	   29.10	-	ENSG00000122884	P4HA1	intron	intron	intron	1	8.427446e-05	3	3	3	3	1	2	1	1	0	3	0	3	0	0	0	0	23	1.386943e-05	4.457619e-06	0	5.806965e-06
chr10	 73148591	 73148611	chr10-6087	    3.97	-	ENSG00000122882	ECD	downstream 10K|intron	intron	intron	2	1.385925e-05	0	1	2	1	0	2	0	0	0	1	0	2	0	0	1	0	10	0	4.457619e-06	0	2.903482e-06
chr10	 73583950	 73583970	chr10-1437	   11.50	-	ENSG00000166348	USP54	intron	intron	intron	1	2.824992e-05	1	3	1	3	1	2	0	0	1	0	0	2	0	0	1	0	15	0	0	1.910997e-06	2.903482e-06
chr10	 74008154	 74008174	chr10-3109	    7.49	+	ENSG00000035403	VCL	intron|lncRNA	lncRNA	ncRNA	2	2.447472e-05	3	1	2	1	0	2	0	1	0	3	0	2	0	0	0	0	15	0	4.457619e-06	0	2.903482e-06
chr10	 75115244	 75115264	chr10-7123	    3.53	+	ENSG00000156671	SAMD8	intron	intron	intron	1	2.713018e-05	0	0	1	0	0	0	0	1	0	2	0	2	0	0	0	0	6	1.386943e-05	4.457619e-06	0	0
chr10	 75177912	 75177932	chr10-680	   19.00	+	ENSG00000156671	SAMD8	3'UTR	3'UTR	3'UTR	1	0.000148263	2	3	3	3	1	1	1	0	2	2	0	2	0	1	1	1	23	0	4.457619e-06	1.910997e-06	0
chr10	 75587274	 75587294	chr10-2820	   10.60	+	ENSG00000148655	LRMDA	intron	intron	intron	1	5.453721e-05	2	3	0	3	1	1	0	0	0	1	0	2	1	0	0	0	14	1.386943e-05	4.457619e-06	0	0
chr10	 75905254	 75905274	chr10-1696	    9.25	+	ENSG00000148655	LRMDA	intron|Other	Other	Other	2	3.020149e-05	3	2	1	2	0	0	0	1	0	2	0	2	0	0	1	0	14	0	4.457619e-06	1.910997e-06	0
chr10	 76721164	 76721184	chr10-7436	   11.00	+			unannotated	UnAn	UnAn	1	5.591564e-05	0	0	0	0	0	0	0	0	0	0	1	2	1	2	1	0	7	0	0	1.910997e-06	2.903482e-06
chr10	 78848698	 78848718	chr10-3509	    6.17	-			unannotated	UnAn	UnAn	1	3.745705e-05	2	3	1	1	1	1	1	0	0	2	1	2	0	0	0	0	15	1.386943e-05	4.457619e-06	0	0
chr10	 79513426	 79513446	chr10-2	 3092.00	+	ENSG00000253626	EIF5AL1	3'UTR	3'UTR	3'UTR	1	0.008192612	3	3	3	3	2	2	1	2	2	4	4	4	3	4	4	6	50	1.386943e-05	8.915238e-06	3.630895e-05	9.000796e-05
chr10	 80246886	 80246906	chr10-115	   67.00	-				UnAn	UnAn	0	0.0004024266	2	3	3	3	2	2	1	0	0	2	1	2	2	2	3	4	32	0	0	1.910997e-06	8.710447e-06
chr10	 81912148	 81912168	chr10-945	   17.20	+	ENSG00000185737	NRG3	intron	intron	intron	1	8.214518e-05	3	2	0	3	1	1	1	1	1	2	0	2	0	1	1	0	19	1.386943e-05	4.457619e-06	0	0
chr10	 84432262	 84432282	chr10-2647	    6.61	+	ENSG00000107771	CCSER2	intron	intron	intron	1	2.227075e-05	1	2	0	1	1	1	1	0	1	1	0	2	0	0	0	0	11	0	4.457619e-06	0	2.903482e-06
chr10	 84500898	 84500918	chr10-11674	    2.64	+	ENSG00000107771	CCSER2	intron	intron	intron	1	1.214522e-05	0	3	0	2	1	1	0	0	0	0	0	2	0	0	0	0	9	0	4.457619e-06	0	2.903482e-06
chr10	 86610995	 86611015	chr10-117	  201.00	+			unannotated	UnAn	UnAn	1	0.0005534403	2	3	3	3	2	2	1	0	0	3	0	2	0	1	2	4	28	1.386943e-05	0	1.146598e-05	0
chr10	 87050562	 87050582	chr10-4	 1279.40	-	ENSG00000148672	GLUD1	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	0.003625586	3	3	3	3	2	2	2	2	2	4	4	3	2	3	5	4	47	1.386943e-05	0	1.146598e-05	2.903482e-06
