chr	start	end	name	score	strand	gene	external_gene_name	annotation	finalized_annotation	grouped_annotation	annotation_count	TOTAL_TagCount	Nuc_F_M_BC	Nuc_F_S_BC	Cyto_F_M_BC	Cyto_F_S_BC	NLS_I_M_BC	NLS_I_S_BC	NES_I_M_BC	NES_I_S_BC	G3BP_I_M_BC	G3BP_I_S_BC	NLS_E_M_BC	NLS_E_S_BC	NES_E_M_BC	NES_E_S_BC	G3BP_E_M_BC	G3BP_E_S_BC	TOTAL_BC	NES_E_M_1	NES_E_M_2	NES_E_M_3	NES_E_M_4
chr1	228628154	228628174	chr1-625	  122.10	-	ENSG00000201321	RNA5S9	rRNA	rRNA	ncRNA	1	0.000533772	3	2	2	3	2	2	2	2	1	1	3	2	2	2	1	2	32	0	1.986373e-05	4.372158e-05	0
chr1	228628222	228628242	chr1-688	  143.70	-	ENSG00000201321	RNA5S9	rRNA	rRNA	ncRNA	1	0.0007287498	3	3	3	3	2	2	2	2	1	2	3	3	3	2	3	0	37	2.643335e-05	0	4.372158e-05	1.896004e-05
chr1	228630409	228630429	chr1-264	  183.30	-	ENSG00000199910	RNA5S10	rRNA	rRNA	ncRNA	1	0.002347571	3	3	3	3	2	2	2	2	2	4	3	3	2	3	3	2	42	0	0	0.0001224204	5.688013e-05
chr1	228632640	228632660	chr1-203	  188.20	-	ENSG00000199334	RNA5S11	rRNA	rRNA	ncRNA	1	0.002503079	3	3	3	3	2	2	2	2	3	4	4	3	2	4	3	3	46	0	0	0.0001486534	5.688013e-05
chr1	228634879	228634899	chr1-199	  194.80	-	ENSG00000199270	RNA5S12	rRNA	rRNA	ncRNA	1	0.002476664	3	3	3	3	2	2	2	2	2	4	2	3	3	3	2	3	42	0	1.986373e-05	0.0001573977	1.896004e-05
chr1	228634924	228634944	chr1-507	  164.40	-	ENSG00000199270	RNA5S12	rRNA	rRNA	ncRNA	1	0.001941517	3	3	3	3	2	2	2	2	2	3	2	2	2	2	2	1	36	0	0	0.0001136761	1.896004e-05
chr1	228637105	228637125	chr1-259	  178.90	-	ENSG00000202526	RNA5S13	rRNA	rRNA	ncRNA	1	0.00247969	3	3	3	3	2	2	2	2	2	3	4	4	3	3	2	3	44	2.643335e-05	0	0.000166142	5.688013e-05
chr1	228639345	228639365	chr1-271	  182.90	-	ENSG00000201355	RNA5S14	rRNA	rRNA	ncRNA	1	0.00244831	3	3	3	3	2	2	2	2	3	4	2	3	2	3	3	3	43	0	0	0.0001573977	6.636015e-05
chr1	228639390	228639410	chr1-425	  154.20	-	ENSG00000201355	RNA5S14	rRNA	rRNA	ncRNA	1	0.00201177	3	3	3	3	2	2	2	2	2	4	2	3	2	3	2	2	40	0	0	0.0001311647	4.74001e-05
chr1	228641576	228641596	chr1-277	  180.70	-	ENSG00000201925	RNA5S15	rRNA	rRNA	ncRNA	1	0.002436246	3	3	3	3	2	2	2	2	2	3	3	4	3	3	2	2	42	0	1.986373e-05	0.0001136761	2.844006e-05
chr1	228643818	228643838	chr1-254	  170.60	-	ENSG00000202257	RNA5S16	rRNA	rRNA	ncRNA	1	0.002475201	3	3	3	3	2	2	2	2	2	3	3	4	2	4	3	1	42	0	0	0.0001486534	2.844006e-05
chr1	228646048	228646068	chr1-267	  162.20	-	ENSG00000200370	RNA5S17	rRNA	rRNA	ncRNA	1	0.002302888	3	3	3	3	2	2	2	2	3	4	3	3	4	3	2	1	43	2.643335e-05	3.972747e-05	0.0001486534	5.688013e-05
chr1	244854143	244854163	chr1-2	 3627.50	-	ENSG00000153187	HNRNPU	3'UTR|intron|CDS_Retained_intron	3'UTR	3'UTR	3	0.01109862	3	3	3	3	2	2	2	2	3	5	4	3	3	4	4	7	53	0.0001057334	0.0001787736	8.744316e-06	0
chr1	244854264	244854284	chr1-20	  498.90	-	ENSG00000153187	HNRNPU	3'UTR|intron|CDS_Retained_intron	3'UTR	3'UTR	3	0.002408058	3	3	3	3	2	2	2	2	2	4	3	3	2	4	5	7	50	0	3.972747e-05	2.623295e-05	0
chr1	244854355	244854375	chr1-361	   97.40	-	ENSG00000153187	HNRNPU	3'UTR|intron|CDS_Retained_intron	3'UTR	3'UTR	3	0.0004940733	3	3	3	3	2	2	1	1	1	4	0	1	2	1	3	3	33	0	1.986373e-05	0	9.480021e-06
chr1	246317746	246317766	chr1-16062	    4.85	-	ENSG00000185420	SMYD3	downstream 10K|intron	intron	intron	2	6.194738e-05	1	1	0	1	0	1	0	0	1	0	1	1	2	0	1	0	10	2.643335e-05	1.986373e-05	0	0
chr10	  3448139	  3448159	chr10-468	   25.60	+			unannotated	UnAn	UnAn	1	0.0001226374	3	3	3	3	1	0	0	1	1	2	1	0	2	0	0	0	20	2.643335e-05	1.986373e-05	0	0
chr10	  3556103	  3556123	chr10-9355	    3.08	+			unannotated	UnAn	UnAn	1	5.740265e-05	1	1	0	0	1	1	0	0	1	0	1	0	2	0	0	0	8	2.643335e-05	1.986373e-05	0	0
chr10	  5765746	  5765766	chr10-3	 2637.70	-	ENSG00000057608	GDI2	3'UTR	3'UTR	3'UTR	1	0.006904876	3	3	3	3	2	2	2	2	4	5	3	4	3	4	3	6	52	2.643335e-05	1.986373e-05	0	9.480021e-06
chr10	 13217302	 13217322	chr10-135	   49.40	+	ENSG00000272055	RNU6-6P	downstream 10K|snRNA	snRNA	ncRNA	2	0.0002079822	3	3	3	2	2	1	1	1	0	2	2	2	2	2	0	0	26	0	0	1.748863e-05	9.480021e-06
chr10	 21321992	 21322012	chr10-179	   48.50	+	ENSG00000207264	RNU6-15P	snRNA	snRNA	ncRNA	1	0.000197755	3	2	3	1	2	2	0	0	1	3	3	2	2	2	1	1	28	0	0	1.748863e-05	1.896004e-05
chr10	 28540610	 28540630	chr10-1104	   15.00	+	ENSG00000095787	WAC	downstream 10K|intron|CDS_Retained_intron	CDS_RI	intron	3	7.433819e-05	2	1	1	2	1	1	1	1	1	3	1	0	2	0	0	0	17	2.643335e-05	0	0	9.480021e-06
chr10	 32900996	 32901016	chr10-1043	   18.10	-	ENSG00000150093	ITGB1	3'UTR|intron|CDS_Retained_intron	3'UTR	3'UTR	3	0.0001087863	0	2	3	2	2	2	1	1	0	3	1	1	2	1	0	1	22	0	1.986373e-05	0	9.480021e-06
chr10	 61945277	 61945297	chr10-840	   18.50	+	ENSG00000150347	ARID5B	intron	intron	intron	1	8.497055e-05	3	3	3	3	0	0	1	0	0	1	0	0	2	0	0	0	16	2.643335e-05	0	1.748863e-05	0
chr10	 63623988	 63624008	chr10-96	   59.10	+	ENSG00000165476	REEP3	3'UTR|Other	3'UTR	3'UTR	2	0.0002127427	2	3	3	3	2	2	1	2	2	3	0	1	2	1	2	2	31	0	1.986373e-05	0	9.480021e-06
chr10	 68338926	 68338946	chr10-3036	    7.49	+	ENSG00000096746	HNRNPH3	intron	intron	intron	1	7.473198e-05	2	2	1	3	1	2	1	1	0	2	1	0	2	0	2	0	20	0	1.986373e-05	0	1.896004e-05
chr10	 73007562	 73007582	chr10-12	  654.90	-	ENSG00000122884	P4HA1	3'UTR	3'UTR	3'UTR	1	0.001840736	3	3	3	3	2	2	2	2	2	5	3	2	2	3	2	6	45	5.28667e-05	1.986373e-05	0	0
chr10	 79513426	 79513446	chr10-2	 3092.00	+	ENSG00000253626	EIF5AL1	3'UTR	3'UTR	3'UTR	1	0.008192612	3	3	3	3	2	2	1	2	2	4	4	4	3	4	4	6	50	0	3.972747e-05	2.623295e-05	2.844006e-05
chr10	 80246886	 80246906	chr10-115	   67.00	-				UnAn	UnAn	0	0.0004024266	2	3	3	3	2	2	1	0	0	2	1	2	2	2	3	4	32	0	1.986373e-05	2.623295e-05	0
chr10	 87050562	 87050582	chr10-4	 1279.40	-	ENSG00000148672	GLUD1	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	0.003625586	3	3	3	3	2	2	2	2	2	4	4	3	2	3	5	4	47	7.930004e-05	0	0	2.844006e-05
chr10	 87209330	 87209350	chr10-13202	    3.08	-	ENSG00000223482	NUTM2A-AS1	intron|lncRNA	lncRNA	ncRNA	2	3.363081e-05	0	1	0	3	0	0	0	0	0	0	0	0	2	0	0	0	6	0	1.986373e-05	0	9.480021e-06
chr10	 90912277	 90912297	chr10-11	  222.60	-	ENSG00000148677	ANKRD1	3'UTR	3'UTR	3'UTR	1	0.00124038	3	3	3	3	2	2	1	2	1	5	3	3	2	2	3	6	44	5.28667e-05	1.986373e-05	0	0
chr10	 92694980	 92695000	chr10-747	   20.30	+	ENSG00000152804	HHEX	3'UTR	3'UTR	3'UTR	1	0.0001470448	1	2	3	3	1	1	0	1	2	4	1	1	2	1	0	1	24	2.643335e-05	1.986373e-05	0	0
chr10	 94604837	 94604857	chr10-173	   33.90	+	ENSG00000119969	HELLS	downstream 10K|intron|lncRNA	lncRNA	ncRNA	3	0.0002325925	3	3	3	3	2	1	1	1	1	3	1	1	2	0	1	3	29	2.643335e-05	1.986373e-05	0	0
chr10	100364131	100364151	chr10-1	 3008.30	+	ENSG00000099194	SCD	3'UTR	3'UTR	3'UTR	1	0.01171036	3	3	3	3	2	2	2	2	4	5	4	4	3	4	5	7	56	0.0001057334	0.0001787736	0	9.480021e-05
chr10	101127930	101127950	chr10-17344	    2.64	+				UnAn	UnAn	0	3.66348e-05	1	0	0	0	1	0	0	0	1	0	0	1	2	0	0	0	6	0	1.986373e-05	0	9.480021e-06
chr10	101364911	101364931	chr10-275	  199.20	-	ENSG00000222414	RNU2-59P	snRNA	snRNA	ncRNA	1	0.0008357365	3	3	3	3	2	2	2	2	1	3	3	4	2	2	3	3	41	0	0	8.744316e-06	3.792008e-05
chr10	111012586	111012606	chr10-2127	   10.60	+	ENSG00000108061	SHOC2	3'UTR	3'UTR	3'UTR	1	7.887908e-05	0	1	3	3	0	0	0	1	0	1	0	0	2	1	1	0	13	2.643335e-05	1.986373e-05	0	0
chr10	132782266	132782286	chr10-23	  146.80	+	ENSG00000068383	INPP5A	3'UTR|Other	3'UTR	3'UTR	2	0.0005340938	3	3	3	3	2	2	1	1	3	3	1	1	2	1	2	4	35	0	3.972747e-05	8.744316e-06	0
chr11	  1802742	  1802762	chr11-124	   83.70	-				UnAn	UnAn	0	0.001398685	3	3	3	3	2	2	2	2	3	4	3	4	3	4	3	6	50	0	3.972747e-05	2.623295e-05	1.896004e-05
chr11	  2130551	  2130571	chr11-3	 1903.90	-	ENSG00000167244	IGF2	3'UTR	3'UTR	3'UTR	1	0.006725918	3	3	3	3	2	2	2	2	2	5	4	3	3	4	5	4	50	7.930004e-05	0	2.623295e-05	9.480021e-06
chr11	  2945429	  2945449	chr11-511	   26.00	-	ENSG00000205531	NAP1L4	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	0.0001207436	3	3	3	3	1	1	1	0	1	2	1	1	2	0	0	0	22	2.643335e-05	1.986373e-05	0	0
chr11	 10508935	 10508955	chr11-173	  127.40	-			downstream 10K	DS10K	DS10K	1	0.000738795	3	3	3	3	2	2	2	2	2	3	2	3	2	3	3	3	41	0	0	3.497726e-05	3.792008e-05
chr11	 10509264	 10509284	chr11-302	  107.50	-			downstream 10K	DS10K	DS10K	1	0.001449717	3	3	3	3	2	2	2	2	3	4	3	3	2	4	5	4	48	0	1.986373e-05	8.744316e-06	0
chr11	 10509623	 10509643	chr11-2018	   11.00	-			downstream 10K	DS10K	DS10K	1	9.312323e-05	1	2	2	3	2	1	0	1	1	1	1	1	2	3	2	2	25	0	0	8.744316e-06	9.480021e-06
chr11	 10801490	 10801510	chr11-164	  169.20	-	ENSG00000110321	EIF4G2	downstream 10K|intron|snoRNA|CDS_Retained_intron	snoRNA	snoRNA	4	0.0004824963	3	3	3	3	2	2	1	1	2	4	3	3	2	2	1	0	35	0	1.986373e-05	0	1.896004e-05
chr11	 22812442	 22812462	chr11-24	  296.60	+	ENSG00000148935	GAS2	3'UTR|Other	3'UTR	3'UTR	2	0.0008780112	3	3	3	3	2	2	2	2	2	3	2	1	2	1	2	5	38	2.643335e-05	1.986373e-05	0	0
chr11	 26902387	 26902407	chr11-1417	   15.40	-			unannotated	UnAn	UnAn	1	6.19941e-05	3	2	2	3	1	1	1	0	0	1	1	0	2	0	0	0	17	0	1.986373e-05	0	9.480021e-06
chr11	 27468576	 27468596	chr11-1095	   16.30	-	ENSG00000205213	LGR4	intron	intron	intron	1	9.131066e-05	3	2	2	0	1	1	1	0	1	0	1	1	2	0	0	1	16	2.643335e-05	0	8.744316e-06	0
chr11	 27495725	 27495745	chr11-41	  158.70	-	ENSG00000148943	LIN7C	3'UTR	3'UTR	3'UTR	1	0.0007277975	3	3	3	3	2	2	1	2	2	4	1	2	2	3	4	6	43	0	1.986373e-05	0	9.480021e-06
chr11	 57776104	 57776124	chr11-219	  127.40	+	ENSG00000198561	CTNND1	intron|CDS_Retained_intron	CDS_RI	intron	2	0.0002941924	3	3	3	3	2	2	1	1	1	3	2	0	2	1	1	1	29	2.643335e-05	0	0	9.480021e-06
chr11	 62625307	 62625327	chr11-330	   39.70	-	ENSG00000089597	GANAB	3'UTR	3'UTR	3'UTR	1	0.0002033364	2	3	3	3	2	1	1	1	2	2	2	0	2	0	0	2	26	2.643335e-05	1.986373e-05	0	0
chr11	 62841689	 62841709	chr11-84	  465.00	-	ENSG00000133316	WDR74	5'UTR|snRNA	5'UTR	5'UTR	2	0.001521483	3	3	3	3	2	2	2	2	4	3	2	3	2	3	2	6	45	0	3.972747e-05	1.748863e-05	0
chr11	 62853342	 62853362	chr11-216	  187.30	-	ENSG00000255717	SNHG1	intron|lncRNA|ncRNA_Retained_intron	lncRNA	ncRNA	3	0.000605222	3	3	2	0	2	2	2	2	2	4	3	2	2	3	2	1	35	0	0	6.995453e-05	9.480021e-06
chr11	 62853687	 62853707	chr11-165	  219.50	-	ENSG00000255717	SNHG1	intron|lncRNA|snoRNA|ncRNA_Retained_intron	lncRNA	ncRNA	4	0.0009897136	3	3	3	3	2	2	2	2	4	5	4	3	2	4	2	2	46	2.643335e-05	0	1.748863e-05	0
chr11	 62853921	 62853941	chr11-72	  349.50	-	ENSG00000255717	SNHG1	intron|lncRNA|ncRNA_Retained_intron	lncRNA	ncRNA	3	0.001587871	3	3	2	2	2	2	2	2	3	4	4	2	2	3	3	2	41	0	0	7.869885e-05	9.480021e-06
chr11	 62854633	 62854653	chr11-44	  719.70	-	ENSG00000255717	SNHG1	intron|lncRNA|snoRNA|ncRNA_Retained_intron	lncRNA	ncRNA	4	0.002618547	3	3	3	3	2	2	2	2	3	4	4	4	3	2	3	2	45	0	1.986373e-05	0.0001311647	5.688013e-05
chr11	 62855021	 62855041	chr11-212	  439.00	-	ENSG00000255717	SNHG1	intron|lncRNA|snoRNA|ncRNA_Retained_intron	lncRNA	ncRNA	4	0.00191365	3	3	3	3	2	2	2	2	3	3	4	4	4	3	3	0	44	2.643335e-05	3.972747e-05	8.744316e-06	3.792008e-05
chr11	 62855309	 62855329	chr11-30	 1493.60	-	ENSG00000255717	SNHG1	intron|lncRNA|snoRNA|ncRNA_Retained_intron	lncRNA	ncRNA	4	0.004417962	3	3	2	2	2	2	2	2	3	4	2	2	2	2	3	3	39	0	0	0.0002011193	0.0001516803
chr11	 62855580	 62855600	chr11-95	  310.30	-	ENSG00000255717	SNHG1	intron|lncRNA|snoRNA|ncRNA_Retained_intron	lncRNA	ncRNA	4	0.001436979	3	3	3	2	2	2	2	2	3	4	4	4	3	3	2	4	46	0	3.972747e-05	0.0001136761	1.896004e-05
chr11	 63627681	 63627701	chr11-1054	   18.50	-	ENSG00000184743	ATL3	3'UTR	3'UTR	3'UTR	1	0.0001127068	2	3	3	3	2	2	1	1	0	3	0	2	2	0	0	3	27	2.643335e-05	0	0	9.480021e-06
chr11	 65499126	 65499146	chr11-18	  266.60	+	ENSG00000251562	MALAT1	intron|lncRNA	lncRNA	ncRNA	2	0.000806151	3	3	3	3	2	2	2	2	2	4	2	3	3	4	2	4	44	0	1.986373e-05	8.744316e-06	3.792008e-05
chr11	 65500355	 65500375	chr11-22	  441.60	+	ENSG00000251562	MALAT1	intron|lncRNA	lncRNA	ncRNA	2	0.001159534	3	3	3	3	2	2	2	2	2	4	4	4	2	4	2	3	45	0	0	8.744316e-06	1.896004e-05
chr11	 65500835	 65500855	chr11-2	 1528.00	+	ENSG00000251562	MALAT1	intron|lncRNA	lncRNA	ncRNA	2	0.005159469	3	3	3	3	2	2	2	2	3	4	4	4	3	3	3	6	50	0.0001321667	7.945494e-05	0	9.480021e-06
chr11	 65501022	 65501042	chr11-1	13181.70	+	ENSG00000251562	MALAT1	intron|lncRNA	lncRNA	ncRNA	2	0.03601781	3	3	3	3	2	2	2	2	4	5	4	4	4	4	4	6	55	0.0002114668	0.0002780923	5.24659e-05	0.0001422003
chr11	 65501516	 65501536	chr11-15	  568.10	+	ENSG00000251562	MALAT1	intron|lncRNA	lncRNA	ncRNA	2	0.001874277	3	3	3	3	2	2	2	2	2	5	4	4	3	2	3	4	47	2.643335e-05	1.986373e-05	0	1.896004e-05
chr11	 65501583	 65501603	chr11-20	  201.40	+	ENSG00000251562	MALAT1	intron|lncRNA	lncRNA	ncRNA	2	0.0008142887	3	3	3	3	2	2	2	1	2	4	4	4	3	1	3	2	42	2.643335e-05	1.986373e-05	0	1.896004e-05
chr11	 65502460	 65502480	chr11-19	  543.40	+	ENSG00000251562	MALAT1	intron|lncRNA	lncRNA	ncRNA	2	0.002431681	3	3	3	3	2	2	2	2	2	4	4	3	3	2	4	6	48	2.643335e-05	5.95912e-05	0	9.480021e-06
chr11	 65502527	 65502547	chr11-10	  399.30	+	ENSG00000251562	MALAT1	intron|Other|lncRNA	lncRNA	ncRNA	3	0.001906871	3	3	3	3	2	2	2	1	2	4	4	4	3	3	4	5	48	5.28667e-05	5.95912e-05	2.623295e-05	0
chr11	 65502634	 65502654	chr11-7	  659.70	+	ENSG00000251562	MALAT1	intron|lncRNA	lncRNA	ncRNA	2	0.002327077	3	3	3	3	2	2	2	2	2	4	4	4	4	2	4	4	48	2.643335e-05	1.986373e-05	8.744316e-06	1.896004e-05
chr11	 65503827	 65503847	chr11-32	  315.10	+	ENSG00000251562	MALAT1	intron|lncRNA	lncRNA	ncRNA	2	0.0009839664	3	3	3	3	2	2	2	2	2	4	4	4	2	2	2	4	44	0	1.986373e-05	8.744316e-06	0
chr11	 65503949	 65503969	chr11-11	 1131.80	+	ENSG00000251562	MALAT1	intron|lncRNA	lncRNA	ncRNA	2	0.003241659	3	3	3	3	2	2	2	2	3	5	4	4	2	4	3	6	51	2.643335e-05	3.972747e-05	0	0
chr11	 65504553	 65504573	chr11-82	  141.00	+	ENSG00000251562	MALAT1	intron|lncRNA	lncRNA	ncRNA	2	0.0004536526	3	3	3	3	2	2	2	1	1	3	4	3	2	1	3	0	36	0	1.986373e-05	8.744316e-06	0
chr11	 65637392	 65637412	chr11-25	  262.20	+	ENSG00000197136	PCNX3	3'UTR|Other	3'UTR	3'UTR	2	0.001665918	3	3	3	3	2	2	1	1	2	3	1	2	2	2	4	6	40	2.643335e-05	0	0	6.636015e-05
chr11	 65855016	 65855036	chr11-150	   68.80	-	ENSG00000172757	CFL1	3'UTR|intron|CDS_Retained_intron	3'UTR	3'UTR	3	0.0003082355	2	3	3	3	1	1	1	1	1	3	2	2	2	2	3	3	33	7.930004e-05	1.986373e-05	0	0
chr11	 66173349	 66173369	chr11-467	   30.80	+	ENSG00000175115	PACS1	intron|CDS_Retained_intron	CDS_RI	intron	2	0.0001517028	3	3	3	3	2	2	1	0	2	2	0	2	2	1	1	0	27	0	1.986373e-05	0	9.480021e-06
chr11	 66641455	 66641475	chr11-190	   93.90	+	ENSG00000173933	RBM4	downstream 10K|intron	intron	intron	2	0.0003493041	3	3	3	3	2	2	2	1	1	3	1	1	2	1	2	1	31	0	1.986373e-05	0	1.896004e-05
chr11	 66663753	 66663773	chr11-148	   69.20	+	ENSG00000173933	RBM4	intron	intron	intron	1	0.0002084359	3	3	3	3	2	2	1	1	1	4	2	2	2	1	3	0	33	0	1.986373e-05	8.744316e-06	0
chr11	 67191983	 67192003	chr11-3836	    8.37	+	ENSG00000173120	KDM2A	intron	intron	intron	1	5.883976e-05	2	1	2	0	1	2	1	1	1	2	0	0	2	0	0	0	15	2.643335e-05	0	0	9.480021e-06
chr11	 67398376	 67398396	chr11-28	  417.40	-	ENSG00000172531	PPP1CA	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	0.001084375	3	3	3	3	2	2	1	2	3	3	3	2	2	0	2	5	39	2.643335e-05	3.972747e-05	0	0
chr11	 68497892	 68497912	chr11-1844	   11.90	+	ENSG00000110075	PPP6R3	intron	intron	intron	1	6.584345e-05	3	3	2	3	2	1	0	0	1	2	1	1	2	0	0	0	21	0	1.986373e-05	0	9.480021e-06
chr11	 68614464	 68614484	chr11-58	  134.00	+	ENSG00000110075	PPP6R3	3'UTR|intron|CDS_Retained_intron	3'UTR	3'UTR	3	0.0005604096	3	3	3	3	2	2	1	1	2	4	1	3	2	3	2	4	39	0	1.986373e-05	0	9.480021e-06
chr11	 69653436	 69653456	chr11-9	  570.70	+	ENSG00000110092	CCND1	3'UTR	3'UTR	3'UTR	1	0.002140509	3	3	3	3	2	2	1	2	2	4	2	3	2	3	3	5	43	0	1.986373e-05	8.744316e-06	0
chr11	 70435275	 70435295	chr11-8	  986.30	+	ENSG00000085733	CTTN	3'UTR|intron|Other	3'UTR	3'UTR	3	0.003977463	3	3	3	3	2	2	1	2	3	5	3	4	3	4	4	7	52	0	3.972747e-05	4.372158e-05	9.480021e-06
chr11	 85019203	 85019223	chr11-160	   86.80	-	ENSG00000150672	DLG2	intron	intron	intron	1	0.0003924666	2	3	3	3	2	2	1	1	1	3	0	2	2	1	2	4	32	2.643335e-05	1.986373e-05	0	0
chr11	 85081675	 85081695	chr11-925	   34.40	-	ENSG00000150672	DLG2	intron	intron	intron	1	0.0001737367	0	1	1	2	2	2	2	1	1	1	2	2	3	2	3	1	26	0	3.972747e-05	8.744316e-06	1.896004e-05
chr11	 88293663	 88293683	chr11-819	   22.90	-	ENSG00000109861	CTSC	3'UTR|intron|CDS_Retained_intron	3'UTR	3'UTR	3	0.0001338112	3	1	3	3	1	2	1	0	1	3	0	1	3	1	0	1	24	2.643335e-05	1.986373e-05	0	9.480021e-06
chr11	 88337948	 88337968	chr11-208	   52.00	+	ENSG00000288018		Other|lncRNA	lncRNA	ncRNA	2	0.0001758243	3	3	3	3	2	1	1	1	1	3	1	1	2	0	1	1	27	2.643335e-05	0	0	2.844006e-05
chr11	 88612858	 88612878	chr11-430	   42.30	-	ENSG00000168959	GRM5	intron|snRNA	snRNA	ncRNA	2	0.0001814102	2	2	1	3	1	2	0	2	2	2	2	2	2	2	1	0	26	0	0	8.744316e-06	9.480021e-06
chr11	 93733250	 93733270	chr11-233	   86.80	-	ENSG00000166012	TAF1D	downstream 10K|intron|snoRNA|CDS_Retained_intron	snoRNA	snoRNA	4	0.0002979403	3	3	3	1	2	2	2	2	1	4	4	2	2	2	1	0	34	0	0	8.744316e-06	9.480021e-06
chr11	105339223	105339243	chr11-149	   58.60	-	ENSG00000255501	CARD18	intron	intron	intron	1	0.0002419541	3	3	3	3	2	2	1	1	1	4	2	2	2	0	2	0	31	2.643335e-05	1.986373e-05	0	0
chr11	107316310	107316330	chr11-939	   20.30	-				UnAn	UnAn	0	8.901534e-05	3	3	3	3	1	1	1	1	0	3	0	0	2	0	0	0	21	2.643335e-05	1.986373e-05	0	0
chr11	110230440	110230460	chr11-235	   89.50	-	ENSG00000137710	RDX	3'UTR|intron|CDS_Retained_intron	3'UTR	3'UTR	3	0.0002345677	3	3	3	3	2	2	1	1	1	3	0	3	2	0	2	3	32	0	1.986373e-05	8.744316e-06	0
chr11	110231579	110231599	chr11-6	  671.60	-	ENSG00000137710	RDX	3'UTR|intron|CDS_Retained_intron	3'UTR	3'UTR	3	0.002427053	3	3	3	3	2	2	1	1	2	4	2	3	2	2	3	5	41	5.28667e-05	0	0	9.480021e-06
chr11	118601087	118601107	chr11-183	   77.60	+	ENSG00000095139	ARCN1	3'UTR|intron	3'UTR	3'UTR	2	0.0005303673	3	3	3	3	2	1	1	1	1	3	0	0	2	1	2	3	29	2.643335e-05	1.986373e-05	0	0
chr11	123059361	123059381	chr11-370	   66.10	-	ENSG00000109971	HSPA8	5'UTR|intron|snoRNA|CDS_Retained_intron	5'UTR	5'UTR	4	0.000351994	3	3	3	2	2	2	2	2	2	2	2	3	2	2	1	1	34	0	0	1.748863e-05	1.896004e-05
chr11	125584093	125584113	chr11-350	   52.90	+	ENSG00000149547	EI24	3'UTR	3'UTR	3'UTR	1	0.0002350816	2	3	3	3	1	2	1	1	2	3	1	0	2	0	1	3	28	0	1.986373e-05	0	9.480021e-06
chr11	125620894	125620914	chr11-4	 1118.10	+	ENSG00000134910	STT3A	3'UTR|intron|CDS_Retained_intron	3'UTR	3'UTR	3	0.00445106	3	3	3	3	2	2	2	2	4	4	4	3	2	3	5	7	52	7.930004e-05	0	2.623295e-05	0
chr11	133559747	133559767	chr11-5330	    5.73	+			Other	Other	Other	1	4.402055e-05	0	0	0	0	1	1	0	1	1	1	0	0	2	1	0	2	10	0	0	8.744316e-06	9.480021e-06
chr11	134124693	134124713	chr11-191	   67.40	-				UnAn	UnAn	0	0.0003534427	3	3	3	3	2	2	1	1	2	3	0	1	2	1	1	4	32	2.643335e-05	1.986373e-05	0	0
chr12	 10507478	 10507498	chr12-65	  254.70	+	ENSG00000180574	EIF2S3B	3'UTR|intron	3'UTR	3'UTR	2	0.0007068711	3	3	3	3	2	2	1	2	3	4	3	2	2	1	2	5	41	0	0	8.744316e-06	9.480021e-06
chr12	 11032537	 11032557	chr12-509	   81.10	-	ENSG00000212127	TAS2R14	intron	intron	intron	1	0.0002058235	3	3	3	3	2	2	1	1	1	2	1	2	2	2	1	0	29	0	1.986373e-05	1.748863e-05	0
chr12	 13046175	 13046195	chr12-315	  172.30	+	ENSG00000084444	FAM234B	intron	intron	intron	1	0.0008576755	3	3	3	3	2	2	2	2	3	3	3	3	4	3	2	1	42	2.643335e-05	1.986373e-05	6.995453e-05	3.792008e-05
chr12	 19166008	 19166028	chr12-2310	   12.30	+	ENSG00000052126	PLEKHA5	intron|CDS_Retained_intron	CDS_RI	intron	2	8.769308e-05	1	3	2	2	2	2	2	1	1	2	1	0	2	0	1	0	22	2.643335e-05	1.986373e-05	0	0
chr12	 20551459	 20551479	chr12-135	  192.20	+	ENSG00000172572	PDE3A	intron|CDS_Retained_intron	CDS_RI	intron	2	0.0008086086	3	3	3	3	2	2	1	1	3	4	2	2	2	2	3	4	40	0	0	1.748863e-05	2.844006e-05
chr12	 20551459	 20551479	chr12-135	  192.20	+	ENSG00000172572	PDE3A	intron|CDS_Retained_intron	CDS_RI	intron	2	0.0008086086	3	3	3	3	2	2	1	1	3	4	2	2	2	2	3	4	40	0	0	1.748863e-05	2.844006e-05
chr12	 20551519	 20551539	chr12-131	   61.30	+	ENSG00000172572	PDE3A	intron|CDS_Retained_intron	CDS_RI	intron	2	0.0005684283	3	3	3	3	2	2	2	1	2	4	2	2	2	2	3	5	41	0	0	8.744316e-06	2.844006e-05
chr12	 20551519	 20551539	chr12-131	   61.30	+	ENSG00000172572	PDE3A	intron|CDS_Retained_intron	CDS_RI	intron	2	0.0005684283	3	3	3	3	2	2	2	1	2	4	2	2	2	2	3	5	41	0	0	8.744316e-06	2.844006e-05
chr12	 20554139	 20554159	chr12-638	   27.30	+	ENSG00000172572	PDE3A	intron|CDS_Retained_intron	CDS_RI	intron	2	0.000194288	3	3	3	3	2	2	1	0	2	4	1	0	2	0	2	5	33	0	1.986373e-05	0	9.480021e-06
