chr	start	end	name	score	strand	gene	external_gene_name	annotation	finalized_annotation	grouped_annotation	annotation_count	TOTAL_TagCount	Nuc_F_M_BC	Nuc_F_S_BC	Cyto_F_M_BC	Cyto_F_S_BC	NLS_I_M_BC	NLS_I_S_BC	NES_I_M_BC	NES_I_S_BC	G3BP_I_M_BC	G3BP_I_S_BC	NLS_E_M_BC	NLS_E_S_BC	NES_E_M_BC	NES_E_S_BC	G3BP_E_M_BC	G3BP_E_S_BC	TOTAL_BC	G3BP_E_S_1	G3BP_E_S_2	G3BP_E_S_3	G3BP_E_S_4	G3BP_E_S_5	G3BP_E_S_6	G3BP_E_S_7
chr11	 47623374	 47623394	chr11-3603	   11.50	+			TE|unannotated	TE	TE	2	0.00027935	1	0	0	0	1	1	0	0	0	1	1	1	0	1	3	3	13	7.605141e-05	1.157693e-05	3.814377e-06	0	0	0	0
chr11	 48000985	 48001005	chr11-9739	    3.53	-			TE|unannotated	TE	TE	2	9.297854e-05	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	3	6	7.605141e-05	1.653847e-06	3.814377e-06	0	0	0	0
chr11	 48167619	 48167639	chr11-1260	   17.60	+	ENSG00000149177	PTPRJ	3'UTR	3'UTR	3'UTR	1	0.0001191446	2	3	2	3	0	1	0	0	0	3	1	0	0	1	0	3	19	0	1.653847e-06	0	1.127307e-05	0	0	4.480889e-05
chr11	 48170765	 48170785	chr11-120	  107.50	+	ENSG00000149177	PTPRJ	3'UTR	3'UTR	3'UTR	1	0.0002583707	3	3	3	3	1	1	1	2	1	3	1	2	0	1	1	4	30	0	1.653847e-06	3.814377e-06	0	0	8.539856e-06	1.49363e-05
chr11	 50101201	 50101221	chr11-4703	    5.73	+			Other|unannotated	Other	Other	2	4.098909e-05	0	0	0	1	1	1	0	0	1	2	0	0	0	0	1	3	10	0	1.653847e-06	3.814377e-06	0	0	0	1.49363e-05
chr11	 57701137	 57701157	chr11-1001	   14.50	+	ENSG00000156599	ZDHHC5	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	0.0001068819	2	2	3	3	2	1	1	0	1	4	0	1	0	0	1	3	24	0	0	3.814377e-06	1.127307e-05	3.563538e-05	0	0
chr11	 57762370	 57762390	chr11-33	  285.60	+	ENSG00000198561	CTNND1	intron|CDS_Retained_intron	CDS_RI	intron	2	0.0007535619	3	3	3	3	2	2	2	1	2	4	4	4	1	1	1	4	40	0	0	0	1.127307e-05	3.563538e-05	8.539856e-06	1.49363e-05
chr11	 57818270	 57818290	chr11-181	   70.50	+	ENSG00000198561	CTNND1	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	0.0001737347	3	3	3	3	2	2	2	0	0	3	1	1	0	1	1	3	28	0	4.96154e-06	9.535943e-06	0	0	8.539856e-06	0
chr11	 57837748	 57837768	chr11-11756	    2.64	-			TE|unannotated	TE	TE	2	0.0001728145	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	5	0.0001521028	3.307693e-06	1.907189e-06	0	0	0	1.49363e-05
chr11	 59574430	 59574450	chr11-508	   27.30	-	ENSG00000110048	OSBP	3'UTR	3'UTR	3'UTR	1	0.0001170193	2	3	3	3	1	1	0	1	0	3	0	0	0	0	2	3	22	0	1.819231e-05	1.335032e-05	0	0	0	1.49363e-05
chr11	 60079127	 60079147	chr11-797	   22.50	+			downstream 10K	DS10K	DS10K	1	0.0001489591	0	3	3	3	2	1	0	0	0	3	0	1	1	0	1	3	21	0	1.653847e-06	5.721566e-06	1.127307e-05	0	0	0
chr11	 60890568	 60890588	chr11-71	  290.90	-	ENSG00000110107	PRPF19	3'UTR	3'UTR	3'UTR	1	0.0009319255	3	3	3	3	2	2	2	2	2	3	3	1	0	0	2	4	35	0.0003042056	1.653847e-06	1.907189e-05	1.127307e-05	0	0	0
chr11	 61797202	 61797222	chr11-52	  193.90	+	ENSG00000134824	FADS2	3'UTR|intron	3'UTR	3'UTR	2	0.0005653542	3	3	3	3	2	2	1	2	1	5	0	0	0	2	2	3	32	0	2.811539e-05	1.525751e-05	0	0	1.707971e-05	0
chr11	 61799733	 61799753	chr11-320	   56.00	-	ENSG00000149485	FADS1	3'UTR	3'UTR	3'UTR	1	0.0001945009	2	3	3	3	1	2	1	1	0	3	0	0	0	0	1	5	25	0	1.653847e-06	5.721566e-06	2.254614e-05	3.563538e-05	8.539856e-06	0
chr11	 61864187	 61864207	chr11-3035	   21.60	-			downstream 10K|TE	TE	TE	2	0.0001975024	2	1	3	2	1	0	1	0	2	2	0	1	0	0	3	3	21	0	3.307693e-06	7.628754e-06	0	0	1.707971e-05	0
chr11	 61864197	 61864217	chr11-706	   23.40	+	ENSG00000134824	FADS2	3'UTR|intron|CDS_Retained_intron	3'UTR	3'UTR	3	6.462019e-05	2	3	3	2	1	0	0	0	0	2	1	0	0	0	2	3	19	0	3.307693e-06	3.814377e-06	0	0	8.539856e-06	0
chr11	 62153620	 62153640	chr11-2518	    9.25	+			downstream 10K	DS10K	DS10K	1	9.728769e-05	0	3	3	2	2	1	0	0	0	2	1	0	0	1	2	4	21	0	1.653847e-06	1.907189e-06	1.127307e-05	0	1.707971e-05	0
chr11	 62154120	 62154140	chr11-307	   47.20	+	ENSG00000289194		downstream 10K|lncRNA	lncRNA	ncRNA	2	0.000221729	3	3	3	3	2	2	1	1	1	3	1	2	0	2	1	3	31	0	0	1.907189e-06	3.38192e-05	0	0	1.49363e-05
chr11	 62841689	 62841709	chr11-84	  465.00	-	ENSG00000133316	WDR74	5'UTR|snRNA	5'UTR	5'UTR	2	0.001521483	3	3	3	3	2	2	2	2	4	3	2	3	2	3	2	6	45	7.605141e-05	3.307693e-06	1.907189e-06	0	3.563538e-05	8.539856e-06	1.49363e-05
chr11	 62855309	 62855329	chr11-30	 1493.60	-	ENSG00000255717	SNHG1	intron|lncRNA|snoRNA|ncRNA_Retained_intron	lncRNA	ncRNA	4	0.004417962	3	3	2	2	2	2	2	2	3	4	2	2	2	2	3	3	39	0	1.653847e-06	0	0	0	8.539856e-06	0.0001194904
chr11	 62855580	 62855600	chr11-95	  310.30	-	ENSG00000255717	SNHG1	intron|lncRNA|snoRNA|ncRNA_Retained_intron	lncRNA	ncRNA	4	0.001436979	3	3	3	2	2	2	2	2	3	4	4	4	3	3	2	4	46	0	1.653847e-06	1.907189e-06	1.127307e-05	0	8.539856e-06	0
chr11	 62924424	 62924444	chr11-6882	    4.41	-			TE	TE	TE	1	2.946883e-05	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	3	6	0	4.96154e-06	3.814377e-06	0	0	0	1.49363e-05
chr11	 63624240	 63624260	chr11-54	  189.90	-	ENSG00000184743	ATL3	3'UTR	3'UTR	3'UTR	1	0.0006273386	3	3	3	3	2	2	1	2	2	3	1	1	1	2	2	4	35	0	1.488462e-05	1.907189e-05	0	3.563538e-05	0	2.987259e-05
chr11	 63624608	 63624628	chr11-401	   28.60	-	ENSG00000184743	ATL3	3'UTR	3'UTR	3'UTR	1	0.0001659418	3	3	3	3	2	2	1	0	0	3	1	2	1	1	1	3	29	0	6.615386e-06	1.907189e-06	0	0	0	1.49363e-05
chr11	 63625513	 63625533	chr11-1894	   11.90	-	ENSG00000184743	ATL3	3'UTR	3'UTR	3'UTR	1	7.866567e-05	1	2	3	3	2	2	0	1	0	1	0	1	0	0	0	3	19	0	1.653847e-06	0	1.127307e-05	3.563538e-05	0	0
chr11	 63625958	 63625978	chr11-48	  170.10	-	ENSG00000184743	ATL3	3'UTR	3'UTR	3'UTR	1	0.0005425535	3	3	3	3	1	1	2	2	0	3	0	0	0	3	1	3	28	0	1.653847e-06	0	3.38192e-05	3.563538e-05	0	0
chr11	 63626369	 63626389	chr11-116	  108.40	-	ENSG00000184743	ATL3	3'UTR	3'UTR	3'UTR	1	0.000283418	3	3	3	3	1	1	1	0	1	3	0	1	0	0	2	3	25	0	0	1.907189e-06	1.127307e-05	0	0	4.480889e-05
chr11	 63626556	 63626576	chr11-1427	   18.10	-	ENSG00000184743	ATL3	3'UTR	3'UTR	3'UTR	1	6.876672e-05	2	2	3	2	2	2	1	1	1	2	1	1	0	1	1	3	25	0	3.307693e-06	1.907189e-06	2.254614e-05	0	0	0
chr11	 63626629	 63626649	chr11-593	   46.30	-	ENSG00000184743	ATL3	3'UTR	3'UTR	3'UTR	1	0.0001422123	1	3	3	3	1	2	1	1	1	3	1	1	0	1	0	3	25	0	0	1.907189e-06	2.254614e-05	0	8.539856e-06	0
chr11	 63626920	 63626940	chr11-42	  186.90	-	ENSG00000184743	ATL3	3'UTR	3'UTR	3'UTR	1	0.0005013092	3	3	3	3	2	2	1	2	2	4	0	1	0	3	2	3	34	0	6.615386e-06	3.814377e-06	2.254614e-05	0	0	0
chr11	 63627597	 63627617	chr11-582	   36.60	-	ENSG00000184743	ATL3	3'UTR	3'UTR	3'UTR	1	0.0001401897	0	2	3	3	2	2	1	1	1	3	0	0	0	1	1	4	24	0	1.653847e-06	1.907189e-06	1.127307e-05	3.563538e-05	0	0
chr11	 63627681	 63627701	chr11-1054	   18.50	-	ENSG00000184743	ATL3	3'UTR	3'UTR	3'UTR	1	0.0001127068	2	3	3	3	2	2	1	1	0	3	0	2	2	0	0	3	27	0	4.96154e-06	1.907189e-06	0	0	0	1.49363e-05
chr11	 63628811	 63628831	chr11-169	  126.90	-	ENSG00000184743	ATL3	3'UTR	3'UTR	3'UTR	1	0.0003903443	3	3	3	3	2	1	1	1	1	2	0	0	0	1	2	4	27	0	0	1.907189e-06	0	3.563538e-05	8.539856e-06	2.987259e-05
chr11	 63759733	 63759753	chr11-26	  216.40	+	ENSG00000133318	RTN3	3'UTR	3'UTR	3'UTR	1	0.0006238168	3	3	3	3	2	1	1	0	1	3	2	1	1	1	3	3	31	0	2.48077e-05	2.670064e-05	0	0	0	5.974519e-05
chr11	 63910665	 63910685	chr11-101	  100.90	+	ENSG00000072518	MARK2	3'UTR|Other	3'UTR	3'UTR	2	0.0005625165	3	3	3	3	1	1	1	1	1	2	1	1	1	1	1	6	30	7.605141e-05	1.653847e-06	1.907189e-06	5.636534e-05	7.127076e-05	8.539856e-06	0
chr11	 64267666	 64267686	chr11-178	   69.20	+	ENSG00000149782	PLCB3	3'UTR|intron|Other	3'UTR	3'UTR	3	0.0002205602	3	3	3	3	2	2	2	1	2	3	0	0	0	0	3	4	31	0	8.269233e-06	1.907189e-06	2.254614e-05	0	8.539856e-06	0
chr11	 64764829	 64764849	chr11-83	  145.00	-	ENSG00000168066	SF1	3'UTR	3'UTR	3'UTR	1	0.0004912476	3	3	3	3	1	2	1	2	2	3	0	1	0	1	2	6	33	7.605141e-05	3.307693e-06	5.721566e-06	3.38192e-05	3.563538e-05	0	1.49363e-05
chr11	 65496663	 65496683	chr11-18663	    3.53	-				UnAn	UnAn	0	5.406351e-05	0	1	3	1	0	2	0	0	0	0	0	0	0	0	0	3	10	0	1.653847e-06	0	1.127307e-05	3.563538e-05	0	0
chr11	 65499126	 65499146	chr11-18	  266.60	+	ENSG00000251562	MALAT1	intron|lncRNA	lncRNA	ncRNA	2	0.000806151	3	3	3	3	2	2	2	2	2	4	2	3	3	4	2	4	44	0	1.653847e-06	1.907189e-06	0	0	8.539856e-06	2.987259e-05
chr11	 65500355	 65500375	chr11-22	  441.60	+	ENSG00000251562	MALAT1	intron|lncRNA	lncRNA	ncRNA	2	0.001159534	3	3	3	3	2	2	2	2	2	4	4	4	2	4	2	3	45	0	3.307693e-06	1.907189e-06	0	0	8.539856e-06	0
chr11	 65500835	 65500855	chr11-2	 1528.00	+	ENSG00000251562	MALAT1	intron|lncRNA	lncRNA	ncRNA	2	0.005159469	3	3	3	3	2	2	2	2	3	4	4	4	3	3	3	6	50	0	3.307693e-06	1.335032e-05	3.38192e-05	3.563538e-05	4.269928e-05	2.987259e-05
chr11	 65501022	 65501042	chr11-1	13181.70	+	ENSG00000251562	MALAT1	intron|lncRNA	lncRNA	ncRNA	2	0.03601781	3	3	3	3	2	2	2	2	4	5	4	4	4	4	4	6	55	0	9.261541e-05	7.819473e-05	0.0001127307	0.0001069061	0.0005636305	7.468148e-05
chr11	 65501516	 65501536	chr11-15	  568.10	+	ENSG00000251562	MALAT1	intron|lncRNA	lncRNA	ncRNA	2	0.001874277	3	3	3	3	2	2	2	2	2	5	4	4	3	2	3	4	47	0	0	1.907189e-06	1.127307e-05	3.563538e-05	8.539856e-06	0
chr11	 65501835	 65501855	chr11-88	  186.40	+	ENSG00000251562	MALAT1	intron|lncRNA	lncRNA	ncRNA	2	0.0006689684	3	3	3	3	2	2	2	2	2	5	4	4	0	3	2	3	43	0	1.653847e-06	1.907189e-06	1.127307e-05	0	0	0
chr11	 65502287	 65502307	chr11-27	  325.70	+	ENSG00000251562	MALAT1	intron|lncRNA	lncRNA	ncRNA	2	0.001109412	3	3	3	3	2	2	2	2	2	4	4	4	0	3	2	3	42	0	3.307693e-06	0	0	0	1.707971e-05	2.987259e-05
chr11	 65502460	 65502480	chr11-19	  543.40	+	ENSG00000251562	MALAT1	intron|lncRNA	lncRNA	ncRNA	2	0.002431681	3	3	3	3	2	2	2	2	2	4	4	3	3	2	4	6	48	0	4.96154e-06	3.814377e-06	4.509227e-05	3.563538e-05	8.539856e-06	4.480889e-05
chr11	 65502527	 65502547	chr11-10	  399.30	+	ENSG00000251562	MALAT1	intron|Other|lncRNA	lncRNA	ncRNA	3	0.001906871	3	3	3	3	2	2	2	1	2	4	4	4	3	3	4	5	48	0	1.653847e-06	3.814377e-06	1.127307e-05	0	1.707971e-05	1.49363e-05
chr11	 65502634	 65502654	chr11-7	  659.70	+	ENSG00000251562	MALAT1	intron|lncRNA	lncRNA	ncRNA	2	0.002327077	3	3	3	3	2	2	2	2	2	4	4	4	4	2	4	4	48	0	1.488462e-05	9.535943e-06	2.254614e-05	0	8.539856e-06	0
chr11	 65503827	 65503847	chr11-32	  315.10	+	ENSG00000251562	MALAT1	intron|lncRNA	lncRNA	ncRNA	2	0.0009839664	3	3	3	3	2	2	2	2	2	4	4	4	2	2	2	4	44	0	1.653847e-06	1.907189e-06	1.127307e-05	0	8.539856e-06	0
chr11	 65503949	 65503969	chr11-11	 1131.80	+	ENSG00000251562	MALAT1	intron|lncRNA	lncRNA	ncRNA	2	0.003241659	3	3	3	3	2	2	2	2	3	5	4	4	2	4	3	6	51	7.605141e-05	8.269233e-06	1.907189e-06	1.127307e-05	0	2.561957e-05	2.987259e-05
chr11	 65504322	 65504342	chr11-5	 1236.60	+	ENSG00000251562	MALAT1	intron|lncRNA	lncRNA	ncRNA	2	0.003086823	3	3	3	3	2	2	2	2	2	4	3	4	1	2	3	3	42	0	8.269233e-06	0	2.254614e-05	0	3.415942e-05	0
chr11	 65637392	 65637412	chr11-25	  262.20	+	ENSG00000197136	PCNX3	3'UTR|Other	3'UTR	3'UTR	2	0.001665918	3	3	3	3	2	2	1	1	2	3	1	2	2	2	4	6	40	0	1.488462e-05	3.432939e-05	3.38192e-05	3.563538e-05	2.561957e-05	7.468148e-05
chr11	 65855016	 65855036	chr11-150	   68.80	-	ENSG00000172757	CFL1	3'UTR|intron|CDS_Retained_intron	3'UTR	3'UTR	3	0.0003082355	2	3	3	3	1	1	1	1	1	3	2	2	2	2	3	3	33	0	4.96154e-06	5.721566e-06	1.127307e-05	0	0	0
chr11	 66079323	 66079343	chr11-36	  134.00	+	ENSG00000175115	PACS1	intron|CDS_Retained_intron	CDS_RI	intron	2	0.0004121833	3	3	3	3	2	2	1	1	2	3	3	3	1	1	2	3	36	0	1.653847e-06	9.535943e-06	0	0	5.123913e-05	0
chr11	 66088184	 66088204	chr11-17	  743.90	+	ENSG00000175115	PACS1	intron|Other|CDS_Retained_intron	Other	Other	3	0.002218851	3	3	3	3	2	2	2	2	2	4	3	4	0	3	4	5	45	0	1.653847e-06	1.907189e-06	1.127307e-05	3.563538e-05	2.561957e-05	0
chr11	 66166607	 66166627	chr11-468	   34.40	+	ENSG00000175115	PACS1	intron|CDS_Retained_intron	CDS_RI	intron	2	0.0001214526	3	3	3	3	1	2	1	1	1	3	0	1	0	0	1	3	26	0	0	1.907189e-06	0	3.563538e-05	1.707971e-05	0
chr11	 66185202	 66185222	chr11-392	   36.60	+	ENSG00000175115	PACS1	intron|CDS_Retained_intron	CDS_RI	intron	2	0.0001470105	3	3	3	3	2	1	1	0	1	2	1	0	0	2	0	3	25	0	1.653847e-06	0	0	3.563538e-05	8.539856e-06	0
chr11	 66627294	 66627314	chr11-375	   40.50	+	ENSG00000239306	RBM14	3'UTR|intron	3'UTR	3'UTR	2	0.0001391477	3	3	3	3	2	1	1	1	1	3	0	1	0	0	0	4	26	0	1.653847e-06	3.814377e-06	1.127307e-05	3.563538e-05	0	0
chr11	 67257110	 67257130	chr11-55	  131.30	+	ENSG00000173120	KDM2A	3'UTR	3'UTR	3'UTR	1	0.0004385552	3	3	3	3	2	2	1	1	2	4	1	1	0	1	2	3	32	0	0	5.721566e-06	1.127307e-05	7.127076e-05	0	0
chr11	 67257241	 67257261	chr11-39	  314.70	+	ENSG00000173120	KDM2A	3'UTR|Other	3'UTR	3'UTR	2	0.0007434206	3	3	3	3	2	2	1	1	2	4	4	2	1	1	1	4	37	0	3.307693e-06	1.907189e-06	2.254614e-05	0	0	2.987259e-05
chr11	 67257694	 67257714	chr11-106	  178.90	+	ENSG00000173120	KDM2A	3'UTR	3'UTR	3'UTR	1	0.000548347	3	3	3	3	1	2	1	1	2	4	3	2	0	1	3	4	36	0	1.653847e-06	7.628754e-06	7.891147e-05	3.563538e-05	0	0
chr11	 67258041	 67258061	chr11-47	  157.30	+	ENSG00000173120	KDM2A	3'UTR|Other	3'UTR	3'UTR	2	0.0004994953	3	3	3	3	1	2	1	0	1	3	2	2	0	0	3	4	31	0	1.819231e-05	3.242221e-05	0	0	8.539856e-06	1.49363e-05
chr11	 67398376	 67398396	chr11-28	  417.40	-	ENSG00000172531	PPP1CA	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	0.001084375	3	3	3	3	2	2	1	2	3	3	3	2	2	0	2	5	39	0	8.269233e-06	0	1.127307e-05	3.563538e-05	1.707971e-05	2.987259e-05
chr11	 68052894	 68052914	chr11-439	   33.90	-	ENSG00000110721	CHKA	3'UTR	3'UTR	3'UTR	1	0.0001285794	3	3	3	3	2	2	1	1	1	3	0	1	0	1	0	3	27	0	1.653847e-06	3.814377e-06	1.127307e-05	0	0	0
chr11	 68183195	 68183215	chr11-93	   90.80	-	ENSG00000110066	KMT5B	intron|CDS_Retained_intron	CDS_RI	intron	2	0.000272409	3	3	3	3	2	2	1	1	1	3	1	2	0	1	1	3	30	0	9.92308e-06	0	1.127307e-05	0	0	7.468148e-05
chr11	 68472631	 68472651	chr11-35	  201.40	+	ENSG00000110075	PPP6R3	intron	intron	intron	1	0.0005972468	3	3	3	3	2	2	1	1	1	4	2	3	0	0	2	3	33	0	1.653847e-06	0	1.127307e-05	3.563538e-05	0	0
chr11	 68613711	 68613731	chr11-140	   78.00	+	ENSG00000110075	PPP6R3	3'UTR|intron|CDS_Retained_intron	3'UTR	3'UTR	3	0.0002916255	2	3	3	3	2	2	1	1	2	4	1	3	0	2	2	4	35	0	6.615386e-06	7.628754e-06	1.127307e-05	7.127076e-05	0	0
chr11	 68613959	 68613979	chr11-91	  140.60	+	ENSG00000110075	PPP6R3	3'UTR|intron|CDS_Retained_intron	3'UTR	3'UTR	3	0.001210691	3	3	3	3	2	2	2	1	3	3	3	2	1	3	2	6	42	0	8.269233e-06	1.144313e-05	0.0001465499	7.127076e-05	1.707971e-05	1.49363e-05
chr11	 68614464	 68614484	chr11-58	  134.00	+	ENSG00000110075	PPP6R3	3'UTR|intron|CDS_Retained_intron	3'UTR	3'UTR	3	0.0005604096	3	3	3	3	2	2	1	1	2	4	1	3	2	3	2	4	39	0	1.819231e-05	1.335032e-05	5.636534e-05	0	2.561957e-05	0
chr11	 68614532	 68614552	chr11-65	  167.00	+	ENSG00000110075	PPP6R3	3'UTR|intron|CDS_Retained_intron	3'UTR	3'UTR	3	0.0009675329	3	3	3	3	2	2	2	1	3	3	1	3	1	2	3	5	40	7.605141e-05	8.269233e-06	1.144313e-05	6.763841e-05	0	0	1.49363e-05
chr11	 69520114	 69520134	chr11-2925	   11.90	+			TE|Other|unannotated	TE	TE	3	0.0003409232	0	0	1	0	1	1	0	0	0	1	1	1	0	1	1	3	11	0.0001521028	8.269233e-06	9.535943e-06	0	0	0	0
chr11	 69652699	 69652719	chr11-2875	    9.25	+	ENSG00000110092	CCND1	3'UTR	3'UTR	3'UTR	1	0.00010631	0	2	2	3	2	2	0	1	1	2	0	0	1	1	0	3	20	0	0	1.907189e-06	1.127307e-05	0	0	1.49363e-05
chr11	 69653345	 69653365	chr11-155	  131.80	+	ENSG00000110092	CCND1	3'UTR	3'UTR	3'UTR	1	0.0004731092	3	3	3	3	2	2	2	1	1	3	1	2	1	3	0	3	33	0	0	1.907189e-06	4.509227e-05	7.127076e-05	0	0
chr11	 69653436	 69653456	chr11-9	  570.70	+	ENSG00000110092	CCND1	3'UTR	3'UTR	3'UTR	1	0.002140509	3	3	3	3	2	2	1	2	2	4	2	3	2	3	3	5	43	0	7.773079e-05	6.293722e-05	0.0002029152	0.0001425415	0	1.49363e-05
chr11	 70435275	 70435295	chr11-8	  986.30	+	ENSG00000085733	CTTN	3'UTR|intron|Other	3'UTR	3'UTR	3	0.003977463	3	3	3	3	2	2	1	2	3	5	3	4	3	4	4	7	52	7.605141e-05	2.811539e-05	4.95869e-05	0.0002029152	0.0005345307	7.68587e-05	0.0003136622
chr11	 71211199	 71211219	chr11-2980	   10.10	-	ENSG00000162105	SHANK2	intron	intron	intron	1	4.244264e-05	1	1	1	0	1	1	0	0	0	0	1	1	0	1	1	3	12	0	3.307693e-06	9.535943e-06	0	0	0	1.49363e-05
chr11	 72097306	 72097326	chr11-269	   53.80	-	ENSG00000149357	LAMTOR1	3'UTR|intron	3'UTR	3'UTR	2	0.0002021205	3	3	3	3	1	1	1	1	1	3	1	1	1	1	0	4	28	0	3.307693e-06	1.907189e-06	1.127307e-05	0	8.539856e-06	0
chr11	 73400901	 73400921	chr11-507	   29.50	-	ENSG00000054965	FAM168A	3'UTR	3'UTR	3'UTR	1	9.075359e-05	3	3	3	3	1	2	1	0	1	3	1	0	0	0	0	3	24	0	3.307693e-06	5.721566e-06	1.127307e-05	0	0	0
chr11	 73690579	 73690599	chr11-2244	   10.10	-	ENSG00000175582	RAB6A	intron	intron	intron	1	6.219826e-05	1	1	3	3	1	1	0	0	0	3	0	0	0	0	0	3	16	0	1.653847e-06	1.907189e-06	0	0	0	2.987259e-05
chr11	 74642675	 74642695	chr11-1051	   16.30	+	ENSG00000077514	POLD3	3'UTR|intron	3'UTR	3'UTR	2	0.0001037778	3	2	2	0	2	1	1	1	2	4	1	0	0	0	0	3	22	0	1.653847e-06	1.907189e-06	0	0	0	1.49363e-05
chr11	 77886598	 77886618	chr11-572	   22.50	+	ENSG00000087884	AAMDC	downstream 10K|intron	intron	intron	2	0.0001229943	3	2	0	1	2	2	1	0	1	3	3	1	0	2	2	3	26	0	3.307693e-06	0	1.127307e-05	0	0	1.49363e-05
chr11	 83061719	 83061739	chr11-7880	    3.97	-	ENSG00000137502	RAB30	intron|TE	TE	TE	2	3.37857e-05	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	3	7	0	1.653847e-06	1.907189e-06	0	0	0	1.49363e-05
chr11	 83185614	 83185634	chr11-666	   24.20	+	ENSG00000165494	PCF11	3'UTR	3'UTR	3'UTR	1	0.0001217643	2	3	2	3	1	1	0	0	0	3	0	1	0	1	1	4	22	0	4.96154e-06	0	1.127307e-05	0	8.539856e-06	5.974519e-05
chr11	 85019203	 85019223	chr11-160	   86.80	-	ENSG00000150672	DLG2	intron	intron	intron	1	0.0003924666	2	3	3	3	2	2	1	1	1	3	0	2	2	1	2	4	32	7.605141e-05	8.269233e-06	1.144313e-05	4.509227e-05	0	0	0
chr11	 85663404	 85663424	chr11-85	  210.70	-	ENSG00000137504	CREBZF	3'UTR|intron|CDS_Retained_intron	3'UTR	3'UTR	3	0.0004757809	3	3	3	3	2	2	1	1	1	3	2	1	1	0	2	3	31	0	1.653847e-06	1.907189e-06	3.38192e-05	0	0	0
chr11	 85753764	 85753784	chr11-1931	   14.10	+			TE|unannotated	TE	TE	2	0.0001378601	0	0	0	0	1	1	0	0	0	1	2	1	0	2	3	4	15	7.605141e-05	8.269233e-06	9.535943e-06	0	0	8.539856e-06	0
chr11	 85958525	 85958545	chr11-1103	   15.90	-	ENSG00000073921	PICALM	3'UTR	3'UTR	3'UTR	1	0.0001016342	2	2	3	3	2	1	1	1	1	3	1	0	0	0	0	3	23	0	6.615386e-06	3.814377e-06	0	3.563538e-05	0	0
chr11	 86949390	 86949410	chr11-77	  262.20	-	ENSG00000174804	FZD4	3'UTR	3'UTR	3'UTR	1	0.0007112246	3	3	3	3	2	2	1	1	2	3	3	1	0	1	3	5	36	0	0	1.144313e-05	3.38192e-05	3.563538e-05	8.539856e-06	2.987259e-05
chr11	 87248019	 87248039	chr11-10946	    3.08	+	ENSG00000166575	TMEM135	intron|Other	Other	Other	2	2.566095e-05	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	3	7	0	1.653847e-06	1.907189e-06	0	0	0	1.49363e-05
chr11	 90199725	 90199745	chr11-618	   27.30	-			downstream 10K	DS10K	DS10K	1	8.67797e-05	3	3	3	3	1	1	0	1	1	3	0	0	0	0	1	3	23	0	6.615386e-06	0	1.127307e-05	0	8.539856e-06	0
chr11	 90202041	 90202061	chr11-696	   21.20	-	ENSG00000110172	CHORDC1	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	0.0001400997	3	3	3	3	0	1	1	0	1	3	0	0	0	0	2	3	23	7.605141e-05	4.96154e-06	3.814377e-06	0	0	0	0
chr11	 93808367	 93808387	chr11-4285	    6.61	+	ENSG00000042429	MED17	3'UTR|intron|TE|CDS_Retained_intron	3'UTR	3'UTR	4	0.0001003754	0	0	1	0	1	1	0	0	0	1	1	0	0	1	0	4	10	7.605141e-05	4.96154e-06	1.907189e-06	0	0	8.539856e-06	0
chr11	 95166247	 95166267	chr11-16	  295.70	-	ENSG00000149212	SESN3	3'UTR	3'UTR	3'UTR	1	0.0009893313	3	3	3	3	2	2	1	2	2	4	3	3	0	1	3	4	39	0	2.976924e-05	5.721566e-06	0.0001240037	7.127076e-05	0	0
chr11	 95169747	 95169767	chr11-971	   15.90	-	ENSG00000149212	SESN3	3'UTR	3'UTR	3'UTR	1	0.0001235281	0	2	3	3	2	2	1	1	0	4	0	1	0	0	1	4	24	0	4.96154e-06	5.721566e-06	3.38192e-05	0	0	1.49363e-05
chr11	 95172639	 95172659	chr11-86	  120.30	-	ENSG00000149212	SESN3	3'UTR	3'UTR	3'UTR	1	0.0005229242	3	3	3	3	2	2	1	2	1	4	4	2	1	1	2	4	38	0	3.307693e-06	7.628754e-06	7.891147e-05	3.563538e-05	0	0
chr11	 95172869	 95172889	chr11-133	   79.30	-	ENSG00000149212	SESN3	3'UTR	3'UTR	3'UTR	1	0.0001934904	2	3	3	3	2	2	1	1	1	3	0	0	0	1	1	3	26	0	6.615386e-06	3.814377e-06	0	0	0	2.987259e-05
chr11	 95173092	 95173112	chr11-194	   69.60	-	ENSG00000149212	SESN3	3'UTR	3'UTR	3'UTR	1	0.0002735462	3	3	3	3	2	2	1	1	2	4	1	1	0	2	1	3	32	0	6.615386e-06	1.907189e-06	4.509227e-05	0	0	0
chr11	 98287120	 98287140	chr11-8641	    3.97	+			unannotated	UnAn	UnAn	1	2.234421e-05	0	1	0	0	1	1	0	0	0	2	0	0	0	1	0	3	9	0	1.653847e-06	1.907189e-06	0	0	8.539856e-06	0
