chr	start	end	name	score	strand	gene	external_gene_name	annotation	finalized_annotation	grouped_annotation	annotation_count	TOTAL_TagCount	Nuc_F_M_BC	Nuc_F_S_BC	Cyto_F_M_BC	Cyto_F_S_BC	NLS_I_M_BC	NLS_I_S_BC	NES_I_M_BC	NES_I_S_BC	G3BP_I_M_BC	G3BP_I_S_BC	NLS_E_M_BC	NLS_E_S_BC	NES_E_M_BC	NES_E_S_BC	G3BP_E_M_BC	G3BP_E_S_BC	TOTAL_BC	G3BP_E_M_1	G3BP_E_M_2	G3BP_E_M_3	G3BP_E_M_4	G3BP_E_M_5	G3BP_E_M_6
chr12	 20551519	 20551539	chr12-131	   61.30	+	ENSG00000172572	PDE3A	intron|CDS_Retained_intron	CDS_RI	intron	2	0.0005684283	3	3	3	3	2	2	2	1	2	4	2	2	2	2	3	5	41	0	6.610259e-06	0	0	5.983796e-06	3.177209e-06
chr12	 20551519	 20551539	chr12-131	   61.30	+	ENSG00000172572	PDE3A	intron|CDS_Retained_intron	CDS_RI	intron	2	0.0005684283	3	3	3	3	2	2	2	1	2	4	2	2	2	2	3	5	41	0	6.610259e-06	0	0	5.983796e-06	3.177209e-06
chr12	 22686883	 22686903	chr12-15	  420.90	+	ENSG00000139163	ETNK1	3'UTR	3'UTR	3'UTR	1	0.00135534	3	3	3	3	2	2	1	2	2	3	3	3	1	1	3	5	40	0	1.322052e-05	0	0	2.991898e-06	1.588604e-05
chr12	 24816576	 24816596	chr12-29	  208.00	-	ENSG00000060982	BCAT1	3'UTR	3'UTR	3'UTR	1	0.0005107553	3	3	3	3	2	2	1	1	2	4	1	1	1	0	3	3	33	0	1.322052e-05	0	0	2.991898e-06	1.164977e-05
chr12	 29394367	 29394387	chr12-20	  518.70	+	ENSG00000257599	OVCH1-AS1	intron|Other|lncRNA	lncRNA	ncRNA	3	0.001825901	3	3	3	3	2	2	1	1	2	4	3	1	0	4	3	6	41	0	0	0	0.0002145002	1.495949e-05	7.413487e-06
chr12	 32726038	 32726058	chr12-221	  224.30	-				UnAn	UnAn	0	0.000613082	3	3	3	3	2	2	1	1	2	3	0	1	3	2	3	4	36	0	0	6.775068e-05	0	2.991898e-06	3.177209e-06
chr12	 32726242	 32726262	chr12-337	   74.90	-				UnAn	UnAn	0	0.0002931108	2	3	3	3	2	2	0	1	0	3	1	1	0	2	4	4	31	0	6.610259e-06	6.775068e-05	0	2.991898e-06	4.236278e-06
chr12	 32791089	 32791109	chr12-44	  138.80	-	ENSG00000057294	PKP2	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	0.0007835967	3	3	3	3	2	2	1	2	2	4	1	2	1	0	3	7	39	0	0	0.0001355014	0	2.991898e-06	1.05907e-06
chr12	 39293715	 39293735	chr12-55	  152.50	-	ENSG00000139116	KIF21A	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	0.000644985	3	3	3	3	2	2	1	1	1	3	2	1	1	1	3	5	35	0	0	6.775068e-05	0	2.094329e-05	5.295348e-06
chr12	 46359070	 46359090	chr12-2	 1491.40	-	ENSG00000134294	SLC38A2	3'UTR	3'UTR	3'UTR	1	0.004293033	3	3	3	3	2	2	2	2	3	4	4	4	3	3	4	7	52	0	1.983078e-05	6.775068e-05	0	2.094329e-05	2.965395e-05
chr12	 46360919	 46360939	chr12-1	 1195.20	-	ENSG00000134294	SLC38A2	3'UTR	3'UTR	3'UTR	1	0.004245885	3	3	3	3	2	2	2	2	3	5	4	3	3	3	3	6	50	0	3.30513e-05	0	0	8.975694e-05	5.718976e-05
chr12	 46977610	 46977630	chr12-3004	   15.40	+			Other	Other	Other	1	0.0003073824	0	1	3	1	1	1	0	1	0	1	1	2	0	1	3	3	19	0.0001579779	1.322052e-05	0	0	0	1.05907e-06
chr12	 48692948	 48692968	chr12-136	  110.20	-	ENSG00000129315	CCNT1	3'UTR	3'UTR	3'UTR	1	0.0002507753	3	3	3	3	2	2	1	0	1	3	1	3	0	0	3	2	30	0	6.610259e-06	0	0	8.975694e-06	1.05907e-05
chr12	 49529849	 49529869	chr12-627	   30.40	-				UnAn	UnAn	0	0.0005178344	1	1	2	3	1	1	1	0	0	2	1	0	0	2	4	4	23	0.0003159558	1.983078e-05	0	0	2.991898e-06	2.118139e-06
chr12	 50537337	 50537357	chr12-3913	    7.49	+	ENSG00000066084	DIP2B	intron|CDS_Retained_intron	CDS_RI	intron	2	0.000239009	3	2	1	3	1	1	1	0	0	0	1	0	0	0	3	0	16	0	0	0	0.0002145002	2.991898e-06	1.05907e-06
chr12	 50924527	 50924547	chr12-278	   60.80	+	ENSG00000185432	METTL7A	intron|Other	Other	Other	2	0.0005800631	2	0	3	3	1	1	0	1	1	3	2	2	0	2	4	4	29	0.0001579779	5.288207e-05	0	0	2.991898e-06	4.236278e-06
chr12	 50931105	 50931125	chr12-6	  387.40	+	ENSG00000185432	METTL7A	3'UTR|intron|Other	3'UTR	3'UTR	3	0.001138935	3	3	3	3	2	2	2	2	1	3	2	3	0	2	3	5	39	0	6.610259e-06	0	0	2.692708e-05	2.118139e-05
chr12	 51712140	 51712160	chr12-200	   60.40	-				UnAn	UnAn	0	0.0001980371	2	3	3	3	1	2	1	1	1	3	0	0	0	1	3	4	28	0	6.610259e-06	0	0	2.991898e-06	3.177209e-06
chr12	 53414210	 53414230	chr12-318	   65.20	+	ENSG00000185591	SP1	3'UTR	3'UTR	3'UTR	1	0.0002905833	3	3	3	3	2	2	1	1	1	4	0	0	2	0	3	4	32	0	0	6.775068e-05	0	2.991898e-06	1.05907e-06
chr12	 53467727	 53467747	chr12-59	  124.30	+	ENSG00000197111	PCBP2	downstream 10K|intron|CDS_Retained_intron	CDS_RI	intron	3	0.00047376	3	3	3	3	2	2	1	1	2	4	4	4	1	1	3	2	39	0	6.610259e-06	0	0	2.991898e-06	4.236278e-06
chr12	 53479690	 53479710	chr12-5	 1603.30	+	ENSG00000197111	PCBP2	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	0.007936304	3	3	3	3	2	2	2	2	3	5	4	4	3	4	4	7	54	0	5.288207e-05	0	0.0002145002	4.487847e-05	5.507162e-05
chr12	 54234164	 54234184	chr12-9	  755.40	-	ENSG00000094916	CBX5	3'UTR	3'UTR	3'UTR	1	0.001981354	3	3	3	3	2	2	2	1	1	4	2	2	0	3	3	5	39	0	0	0	0.0002145002	1.495949e-05	1.588604e-05
chr12	 54234353	 54234373	chr12-275	   67.00	-	ENSG00000094916	CBX5	3'UTR	3'UTR	3'UTR	1	0.0002651667	3	3	3	3	2	1	1	1	2	4	0	1	0	1	3	3	31	0	6.610259e-06	0	0	8.975694e-06	1.05907e-06
chr12	 54284816	 54284836	chr12-4	  867.30	+	ENSG00000135486	HNRNPA1	3'UTR|intron|lncRNA|CDS_Retained_intron	3'UTR	3'UTR	4	0.003282694	3	3	3	3	2	2	2	2	2	4	4	4	2	3	4	5	48	0	9.254363e-05	6.775068e-05	0	3.291088e-05	1.906325e-05
chr12	 54287060	 54287080	chr12-105	  137.90	+	ENSG00000135486	HNRNPA1	3'UTR|intron|lncRNA	3'UTR	3'UTR	3	0.0004844176	3	3	3	3	2	2	1	2	2	4	0	2	1	0	3	3	34	0	1.983078e-05	0	0	2.991898e-06	8.472557e-06
chr12	 55402710	 55402730	chr12-8390	   87.30	+				UnAn	UnAn	0	0.0004221917	3	3	2	3	2	2	1	1	3	4	3	2	0	0	3	3	35	0	0	6.775068e-05	0	2.991898e-06	3.177209e-06
chr12	 56596750	 56596770	chr12-21	  520.90	-	ENSG00000076108	BAZ2A	3'UTR	3'UTR	3'UTR	1	0.001889111	3	3	3	3	2	2	2	2	2	4	3	3	2	4	3	6	47	0	0	0	0.0004290004	8.975694e-06	2.012232e-05
chr12	 65645858	 65645878	chr12-30	  194.40	-				UnAn	UnAn	0	0.0006291761	2	3	3	3	2	2	2	2	2	4	3	2	0	3	4	5	42	0	6.610259e-06	6.775068e-05	0	1.196759e-05	5.295348e-06
chr12	 70293943	 70293963	chr12-796	   21.20	+	ENSG00000111596	CNOT2	intron|CDS_Retained_intron	CDS_RI	intron	2	0.0002944872	3	3	2	3	1	1	1	1	1	2	1	2	0	0	3	0	24	0	6.610259e-06	0	0.0002145002	0	1.05907e-06
chr12	 76046466	 76046486	chr12-28	  215.10	-	ENSG00000187109	NAP1L1	3'UTR	3'UTR	3'UTR	1	0.0007489268	3	3	3	3	2	2	2	1	2	3	2	2	1	1	4	5	39	0	6.610259e-06	6.775068e-05	0	2.991898e-06	1.05907e-05
chr12	 76047613	 76047633	chr12-110	  115.90	-	ENSG00000187109	NAP1L1	3'UTR	3'UTR	3'UTR	1	0.0004036482	3	3	3	3	2	2	1	2	2	4	3	3	1	0	3	3	38	0	0	6.775068e-05	0	8.975694e-06	9.531626e-06
chr12	 76048081	 76048101	chr12-18	  541.60	-	ENSG00000187109	NAP1L1	3'UTR|intron|CDS_Retained_intron	3'UTR	3'UTR	3	0.001547613	3	3	3	3	2	2	1	2	2	4	1	3	4	2	4	6	45	0	3.966155e-05	6.775068e-05	0	1.795139e-05	1.588604e-05
chr12	 76048295	 76048315	chr12-50	  198.30	-	ENSG00000187109	NAP1L1	3'UTR|intron|CDS_Retained_intron	3'UTR	3'UTR	3	0.0006147766	3	3	3	3	2	2	1	2	2	2	2	0	0	2	3	4	34	0	6.610259e-06	0	0	2.991898e-06	3.177209e-06
chr12	 79918140	 79918160	chr12-72	  122.10	-	ENSG00000058272	PPP1R12A	intron	intron	intron	1	0.0003049471	3	3	3	3	2	2	1	1	2	3	1	2	0	1	3	0	30	0	6.610259e-06	0	0	2.692708e-05	1.05907e-06
chr12	 88196359	 88196379	chr12-118	   74.00	+	ENSG00000139324	TMTC3	3'UTR	3'UTR	3'UTR	1	0.0003723262	3	3	3	3	2	2	1	1	2	3	1	1	0	2	3	2	32	0	0	6.775068e-05	0	5.983796e-06	1.05907e-06
chr12	 88197284	 88197304	chr12-23	  227.00	+	ENSG00000139324	TMTC3	3'UTR|Other	3'UTR	3'UTR	2	0.000915183	3	3	3	3	2	2	2	2	2	4	2	2	2	3	4	4	43	0	9.915389e-05	6.775068e-05	0	2.094329e-05	1.482697e-05
chr12	 92774035	 92774055	chr12-141	   72.30	-	ENSG00000102189	EEA1	3'UTR	3'UTR	3'UTR	1	0.0002073828	3	3	3	3	2	1	1	1	0	3	0	1	1	0	3	3	28	0	6.610259e-06	0	0	8.975694e-06	5.295348e-06
chr12	 93502161	 93502181	chr12-224	   57.30	+	ENSG00000198015	MRPL42	3'UTR|intron	3'UTR	3'UTR	2	0.0001891493	2	3	3	3	2	1	1	1	0	4	0	0	0	1	3	3	27	0	1.322052e-05	0	0	2.991898e-06	1.05907e-06
chr12	 98541701	 98541721	chr12-1374	   17.60	+	ENSG00000120802	TMPO	downstream 10K|intron	intron	intron	2	0.0001215229	1	1	2	3	2	1	1	1	0	2	0	1	0	0	3	0	18	0	0	6.775068e-05	0	2.991898e-06	2.118139e-06
chr12	 98548624	 98548644	chr12-106	  141.90	+	ENSG00000120802	TMPO	3'UTR	3'UTR	3'UTR	1	0.000571344	3	3	3	3	2	2	1	1	0	3	2	2	0	2	3	5	35	0	0	6.775068e-05	0	2.991898e-06	3.177209e-06
chr12	102908003	102908023	chr12-91	   82.40	-	ENSG00000171759	PAH	intron|CDS_Retained_intron	CDS_RI	intron	2	0.0002607243	3	3	3	3	2	1	1	0	0	4	2	0	0	0	3	0	25	0	0	6.775068e-05	0	2.991898e-06	4.236278e-06
chr12	105167969	105167989	chr12-3455	    9.25	+	ENSG00000136051	WASHC4	3'UTR	3'UTR	3'UTR	1	0.0003107906	0	2	1	3	2	1	0	1	0	1	3	0	0	0	3	0	17	0	6.610259e-06	6.775068e-05	0.0002145002	0	0
chr12	107272588	107272608	chr12-100	  108.90	+				UnAn	UnAn	0	0.000344023	3	3	3	3	2	2	1	2	1	3	1	1	1	2	3	5	36	0	6.610259e-06	0	0	2.991898e-06	5.295348e-06
chr12	108645212	108645232	chr12-3	 1429.20	-	ENSG00000110880	CORO1C	3'UTR	3'UTR	3'UTR	1	0.005221597	3	3	3	3	2	2	1	2	4	5	4	3	3	3	5	6	52	0.0001579779	6.610259e-06	0.0001355014	0	2.692708e-05	2.965395e-05
chr12	109109079	109109099	chr12-3942	   19.80	-			unannotated	UnAn	UnAn	1	0.0001284669	3	1	2	1	1	1	1	1	1	3	2	0	0	0	3	0	20	0	0	6.775068e-05	0	2.991898e-06	1.05907e-06
chr12	112506187	112506207	chr12-11	  346.00	+	ENSG00000179295	PTPN11	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	0.001051066	3	3	3	3	2	2	2	2	2	4	1	2	1	2	3	6	41	0	3.966155e-05	0	0	8.975694e-06	1.05907e-05
chr12	112506450	112506470	chr12-41	  221.20	+	ENSG00000179295	PTPN11	3'UTR|Other|CDS_Retained_intron	3'UTR	3'UTR	3	0.0007309974	3	3	3	3	2	2	1	1	2	3	2	2	0	1	4	4	36	0	6.610259e-06	6.775068e-05	0	2.991898e-06	3.177209e-06
chr12	118033529	118033549	chr12-13	  315.10	-	ENSG00000176871	WSB2	3'UTR	3'UTR	3'UTR	1	0.001012713	3	3	3	3	2	2	1	2	2	3	1	3	1	1	3	4	37	0	6.610259e-06	6.775068e-05	0	0	9.531626e-06
chr12	120461886	120461906	chr12-8	  882.30	-	ENSG00000111786	SRSF9	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	0.002067787	3	3	3	3	1	2	1	2	1	4	2	2	1	2	3	5	38	0	4.627181e-05	0	0	3.889467e-05	3.600837e-05
chr12	120898305	120898325	chr12-1887	   15.00	-	ENSG00000157837	SPPL3	intron	intron	intron	1	5.878881e-05	2	0	1	0	1	1	0	0	0	2	1	1	0	1	3	2	15	0	1.322052e-05	0	0	1.196759e-05	5.295348e-06
chr12	127165959	127165979	chr12-220	  102.20	-				UnAn	UnAn	0	0.0006823701	3	3	3	3	2	2	2	2	2	4	3	3	2	3	3	3	43	0	1.983078e-05	0	0	8.975694e-06	2.118139e-06
chr12	127166389	127166409	chr12-899	   25.60	-				UnAn	UnAn	0	0.0001506008	3	3	3	2	2	2	1	1	0	1	0	2	1	2	3	0	26	0	6.610259e-06	0	0	3.291088e-05	1.588604e-05
chr12	130123614	130123634	chr12-2130	   16.70	+			Other|unannotated	Other	Other	2	0.0002928411	1	0	3	2	1	0	0	0	0	0	1	1	0	2	3	3	17	0.0001579779	6.610259e-06	0	0	0	2.118139e-06
chr12	130650956	130650976	chr12-5838	    8.81	+			Other	Other	Other	1	0.0001976215	0	0	0	0	1	1	0	1	0	2	1	1	0	0	3	2	12	0.0001579779	6.610259e-06	0	0	0	1.05907e-06
chr13	 19725583	 19725603	chr13-20	  125.60	-	ENSG00000121390	PSPC1	intron	intron	intron	1	0.0003631478	3	3	3	3	2	2	1	1	2	3	3	2	0	0	3	1	32	0	6.610259e-06	0	0	5.983796e-06	4.236278e-06
chr13	 20948058	 20948078	chr13-210	   35.30	-	ENSG00000233780	HNRNPA1P30	intron	intron	intron	1	8.674436e-05	2	1	3	3	2	1	1	0	1	2	0	0	0	0	3	1	20	0	6.610259e-06	0	0	2.991898e-06	1.05907e-06
chr13	 27829296	 27829316	chr13-217	   37.00	+				UnAn	UnAn	0	0.0001024342	2	3	3	3	2	1	1	0	1	2	0	1	0	1	3	2	25	0	6.610259e-06	0	0	2.991898e-06	1.05907e-06
chr13	 32691464	 32691484	chr13-697	   17.20	+	ENSG00000083642	PDS5B	intron	intron	intron	1	0.0001148985	3	1	3	2	2	1	1	0	2	2	0	0	0	0	3	0	20	0	0	6.775068e-05	0	2.991898e-06	1.05907e-06
chr13	 41039333	 41039353	chr13-2508	   11.50	+			Other|unannotated	Other	Other	2	0.0002880306	0	0	0	0	1	1	1	0	0	0	1	1	0	1	3	3	12	0.0001579779	1.322052e-05	0	0	0	2.118139e-06
chr13	 42320231	 42320251	chr13-374	   37.90	+	ENSG00000023516	AKAP11	3'UTR	3'UTR	3'UTR	1	9.06935e-05	2	3	3	3	1	2	0	0	0	2	0	0	0	0	3	2	21	0	6.610259e-06	0	0	2.991898e-06	3.177209e-06
chr13	 50044389	 50044409	chr13-55	   60.80	-	ENSG00000231607	DLEU2	intron|lncRNA	lncRNA	ncRNA	2	0.000154588	3	3	3	3	2	2	1	1	1	3	3	0	0	0	3	0	28	0	1.322052e-05	0	0	8.975694e-06	1.05907e-06
chr13	 50445641	 50445661	chr13-3123	    9.25	+	ENSG00000176124	DLEU1	intron|lncRNA	lncRNA	ncRNA	2	2.580895e-05	2	3	1	3	0	1	0	0	0	1	0	0	0	0	3	0	14	0	6.610259e-06	0	0	2.991898e-06	1.05907e-06
chr13	 65787604	 65787624	chr13-47	   66.50	-				UnAn	UnAn	0	0.000288987	2	2	3	3	2	2	1	1	3	3	1	3	0	1	3	4	34	0	6.610259e-06	0	0	2.991898e-06	4.236278e-06
chr13	 79553932	 79553952	chr13-1696	   15.90	+	ENSG00000102471	NDFIP2	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	0.0001045059	0	3	3	3	2	2	1	0	1	3	0	0	0	1	3	1	23	0	0	6.775068e-05	0	2.991898e-06	1.05907e-06
chr13	 81690996	 81691016	chr13-16	  106.70	+	ENSG00000214182	PTMAP5		UnAn	UnAn	0	0.0003948248	3	3	3	3	2	2	1	1	2	3	0	0	0	1	3	4	31	0	6.610259e-06	0	0	8.975694e-06	1.05907e-06
chr13	 81691065	 81691085	chr13-31	  122.50	+	ENSG00000214182	PTMAP5		UnAn	UnAn	0	0.0003679167	2	3	3	3	2	2	2	0	2	4	1	1	1	3	3	2	34	0	6.610259e-06	0	0	5.983796e-06	3.177209e-06
chr13	 95619600	 95619620	chr13-439	   26.40	+			unannotated	UnAn	UnAn	1	0.0001301022	0	2	3	2	2	2	0	0	0	3	0	2	0	1	3	2	22	0	6.610259e-06	0	0	5.983796e-06	4.236278e-06
chr13	 98452903	 98452923	chr13-5	  232.70	-	ENSG00000102572	STK24	3'UTR	3'UTR	3'UTR	1	0.0009759098	3	3	3	3	2	2	1	2	2	4	3	3	1	1	3	7	43	0	6.610259e-06	0	0	1.196759e-05	1.270884e-05
chr13	102678819	102678839	chr13-35	   75.80	+	ENSG00000134900	TPP2	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	0.0003974647	3	3	3	3	2	2	2	2	2	3	3	3	1	0	4	3	39	0	1.322052e-05	6.775068e-05	0	2.991898e-06	7.413487e-06
chr13	109424227	109424247	chr13-82	   54.20	-	ENSG00000289901		lncRNA	lncRNA	ncRNA	1	0.0002605051	2	3	3	3	2	2	2	2	1	4	3	2	2	2	3	1	37	0	6.610259e-06	0	0	2.991898e-06	3.177209e-06
chr13	112886549	112886569	chr13-1	  312.00	+	ENSG00000068650	ATP11A	3'UTR	3'UTR	3'UTR	1	0.0009649731	3	3	3	3	2	2	2	1	2	5	0	2	0	3	3	5	39	0	3.30513e-05	0	0	1.196759e-05	7.413487e-06
chr14	 16055739	 16055759	chr14-26	  450.00	+				UnAn	UnAn	0	0.001848591	3	3	3	3	2	2	2	2	3	5	2	2	2	3	3	1	41	0	1.322052e-05	0	0	1.795139e-05	1.906325e-05
chr14	 19000118	 19000138	chr14-165	  220.80	+	ENSG00000222036	POTEM	3'UTR	3'UTR	3'UTR	1	0.001289761	3	3	3	3	2	2	2	1	2	4	2	1	2	4	5	5	44	0	1.322052e-05	6.775068e-05	0.0004290004	1.495949e-05	4.236278e-06
chr14	 19401638	 19401658	chr14-139	  221.70	-			downstream 10K	DS10K	DS10K	1	0.001050249	3	3	3	3	2	2	2	1	2	3	2	0	2	4	4	4	40	0	6.610259e-06	0.000203252	0	8.975694e-06	7.413487e-06
chr14	 21566198	 21566218	chr14-75	  173.20	+				UnAn	UnAn	0	0.0006924126	2	3	3	3	2	2	1	1	1	3	1	1	1	1	3	4	32	0	0	0.0001355014	0	8.975694e-06	5.295348e-06
chr14	 23058597	 23058617	chr14-4	  372.00	-	ENSG00000100813	ACIN1	3'UTR	3'UTR	3'UTR	1	0.001182725	3	3	3	3	2	2	2	2	3	4	4	4	0	2	3	6	46	0	2.644104e-05	0	0	1.795139e-05	1.588604e-05
chr14	 23326116	 23326136	chr14-36	  192.20	+	ENSG00000100836	PABPN1	3'UTR	3'UTR	3'UTR	1	0.001280698	3	3	3	3	2	2	2	1	3	4	3	4	2	4	5	5	49	0	3.30513e-05	0.0001355014	0.0002145002	5.983796e-06	1.270884e-05
chr14	 30614220	 30614240	chr14-373	   39.20	+	ENSG00000092140	G2E3	downstream 10K|intron|CDS_Retained_intron	CDS_RI	intron	3	0.0001049407	3	3	3	3	2	2	1	1	1	3	1	2	0	0	3	0	28	0	6.610259e-06	0	0	2.991898e-06	4.236278e-06
chr14	 30614220	 30614240	chr14-373	   39.20	+	ENSG00000092140	G2E3	downstream 10K|intron|CDS_Retained_intron	CDS_RI	intron	3	0.0001049407	3	3	3	3	2	2	1	1	1	3	1	2	0	0	3	0	28	0	6.610259e-06	0	0	2.991898e-06	4.236278e-06
chr14	 30625099	 30625119	chr14-31	  117.70	+	ENSG00000092108	SCFD1	downstream 10K|intron|TE|CDS_Retained_intron	TE	TE	4	0.0003970032	3	3	3	3	2	2	1	2	2	4	1	3	0	1	3	2	35	0	1.322052e-05	0	0	2.991898e-06	1.05907e-05
chr14	 30651577	 30651597	chr14-184	   48.90	+	ENSG00000092108	SCFD1	downstream 10K|intron|CDS_Retained_intron	CDS_RI	intron	3	0.0001869609	2	3	3	3	2	1	1	1	2	3	1	0	0	0	3	0	25	0	0	6.775068e-05	0	1.196759e-05	6.354418e-06
chr14	 30894896	 30894916	chr14-228	   39.20	-	ENSG00000196792	STRN3	3'UTR	3'UTR	3'UTR	1	0.0003411169	1	3	3	3	2	1	0	1	2	3	2	2	0	2	3	4	32	0	6.610259e-06	0	0	2.991898e-06	4.236278e-06
chr14	 30903702	 30903722	chr14-417	   32.20	-	ENSG00000196792	STRN3	downstream 10K|intron	intron	intron	2	9.09315e-05	3	3	3	3	1	2	1	1	0	4	0	1	0	0	3	0	25	0	6.610259e-06	0	0	2.991898e-06	2.118139e-06
chr14	 30918746	 30918766	chr14-136	   56.90	-	ENSG00000196792	STRN3	intron	intron	intron	1	0.0002620501	3	3	3	3	2	1	1	1	1	5	0	1	0	1	3	0	28	0	0	6.775068e-05	0	5.983796e-06	1.05907e-06
chr14	 30924195	 30924215	chr14-84	   71.40	-	ENSG00000196792	STRN3	intron	intron	intron	1	0.0002401649	3	3	3	3	2	2	2	1	1	4	1	2	0	0	3	1	31	0	3.966155e-05	0	0	2.991898e-06	5.295348e-06
chr14	 31009652	 31009672	chr14-1346	   12.30	-	ENSG00000196792	STRN3	intron	intron	intron	1	4.621327e-05	2	2	1	3	1	2	1	0	2	2	1	0	0	0	3	0	20	0	1.322052e-05	0	0	2.991898e-06	1.05907e-06
chr14	 32092471	 32092491	chr14-10	  479.90	+	ENSG00000100852	ARHGAP5	CDS|intron	CDS	CDS	2	0.002346939	3	3	3	3	2	2	2	2	4	3	3	4	3	4	5	6	52	0.0001579779	1.322052e-05	0	0.0004290004	1.196759e-05	6.354418e-06
chr14	 32096155	 32096175	chr14-11	  191.30	+	ENSG00000100852	ARHGAP5	intron	intron	intron	1	0.0006326891	3	3	3	3	2	2	1	2	2	4	3	4	1	1	3	2	39	0	1.322052e-05	0	0	1.196759e-05	2.012232e-05
chr14	 32126240	 32126260	chr14-43	  115.00	+	ENSG00000100852	ARHGAP5	intron	intron	intron	1	0.0003479159	3	3	3	3	2	2	1	0	2	2	1	2	1	1	3	0	29	0	0	6.775068e-05	0	5.983796e-06	4.236278e-06
chr14	 32157836	 32157856	chr14-2	  934.30	+	ENSG00000100852	ARHGAP5	3'UTR|Other	3'UTR	3'UTR	2	0.002920397	3	3	3	3	2	2	2	2	2	4	4	4	2	3	3	6	48	0	3.966155e-05	0	0	4.787037e-05	5.295348e-05
chr14	 35081277	 35081297	chr14-816	   18.50	+	ENSG00000151327	FAM177A1	3'UTR	3'UTR	3'UTR	1	7.732678e-05	2	2	3	2	2	2	1	0	1	2	1	0	0	0	3	2	23	0	1.322052e-05	0	0	2.094329e-05	1.05907e-06
chr14	 39032600	 39032620	chr14-27	  158.20	-	ENSG00000100934	SEC23A	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	0.001031539	2	3	3	3	2	2	1	1	2	3	1	2	1	2	5	4	37	0.0001579779	6.610259e-06	0	0.0002145002	5.983796e-06	3.177209e-06
chr14	 43300765	 43300785	chr14-5	  468.00	+				UnAn	UnAn	0	0.002210898	3	3	3	3	2	2	2	2	2	5	4	4	3	4	4	7	53	0	1.322052e-05	0	0.0002145002	1.495949e-05	2.012232e-05
chr14	 49536576	 49536596	chr14-408	   43.20	+			TE|Other|unannotated	TE	TE	3	0.0003275678	2	0	2	1	1	1	0	0	0	2	2	1	0	2	4	2	20	0.0001579779	3.30513e-05	0	0	2.991898e-06	3.177209e-06
chr14	 49623280	 49623300	chr14-22	  175.80	+	ENSG00000168282	MGAT2	3'UTR	3'UTR	3'UTR	1	0.0006164188	3	3	3	3	1	2	1	1	2	4	1	1	0	1	3	4	33	0	0	0.0001355014	0	8.975694e-06	5.295348e-06
chr14	 51255409	 51255429	chr14-8	  252.10	+	ENSG00000139921	TMX1	3'UTR|Other	3'UTR	3'UTR	2	0.0007978342	3	3	3	3	2	2	1	2	2	3	3	1	1	1	4	4	38	0	6.610259e-06	6.775068e-05	0	8.975694e-06	3.177209e-06
chr14	 55065309	 55065329	chr14-64	  127.80	+	ENSG00000168175	MAPK1IP1L	3'UTR	3'UTR	3'UTR	1	0.0006990798	2	3	3	3	2	2	1	1	3	4	1	1	0	3	3	5	37	0	0	6.775068e-05	0	5.983796e-06	4.236278e-06
chr14	 55069024	 55069044	chr14-55	  108.00	+	ENSG00000168175	MAPK1IP1L	3'UTR	3'UTR	3'UTR	1	0.0004848514	3	3	3	3	2	2	1	1	2	4	2	2	0	2	3	5	38	0	6.610259e-06	0	0	8.975694e-06	9.531626e-06
chr14	 58372451	 58372471	chr14-163	   57.70	+	ENSG00000032219	ARID4A	3'UTR	3'UTR	3'UTR	1	0.0001689528	3	3	3	3	1	2	0	1	0	3	1	1	1	0	3	1	26	0	6.610259e-06	0	0	2.991898e-06	3.177209e-06
chr14	 60292664	 60292684	chr14-16	  179.40	+	ENSG00000100614	PPM1A	3'UTR|Other	3'UTR	3'UTR	2	0.0005926119	3	3	3	3	2	2	1	1	2	4	1	4	0	1	4	2	36	0	1.983078e-05	6.775068e-05	0	8.975694e-06	6.354418e-06
chr14	 61034368	 61034388	chr14-188	   74.90	+	ENSG00000139974	SLC38A6	downstream 10K|intron	intron	intron	2	0.0001858158	3	3	3	3	2	1	1	1	2	3	1	2	0	0	3	1	29	0	6.610259e-06	0	0	5.983796e-06	1.05907e-06
chr14	 63373986	 63374006	chr14-17	  156.90	-	ENSG00000154001	PPP2R5E	3'UTR	3'UTR	3'UTR	1	0.0005817817	3	3	3	3	2	2	1	2	1	4	2	3	0	0	3	5	37	0	6.610259e-06	0	0	1.196759e-05	1.800418e-05
chr14	 66012629	 66012649	chr14-107	  124.70	-				UnAn	UnAn	0	0.000276691	2	3	3	3	2	2	1	1	1	4	0	1	1	1	3	1	29	0	6.610259e-06	0	0	2.991898e-06	2.118139e-06
chr14	 67676833	 67676853	chr14-90	   76.20	-	ENSG00000072042	RDH11	3'UTR|intron|CDS_Retained_intron	3'UTR	3'UTR	3	0.0002329791	3	3	3	3	2	2	2	1	1	3	1	1	1	0	3	4	33	0	6.610259e-06	0	0	2.991898e-06	1.05907e-06
